Facility.ID,State,xwalk_name_raw,xwalk_name_clean,Source,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Population.Feb20,Capacity,HIFLD.ID,BJS.ID,Source.Population.Feb20,Source.Capacity,Address,City,Zipcode,Latitude,Longitude,County,County.FIPS,Website,Jurisdiction
18,Alabama,HAMILTON AGED INFIRMED,HAMILTON AGED AND INFIRMED,NA,Aged and Infirmed,NA,Adult,Male,0,NA,243,300,10001197,NA,HIFLD,HIFLD,223 SASSER DR,HAMILTON,35570,34.12434611,-87.99171938,MARION,1093,http://www.doc.state.al.us/FacAddr.aspx,state
18,Alabama,HAMILTON AI,HAMILTON AGED AND INFIRMED,NA,Aged and Infirmed,NA,Adult,Male,0,NA,243,300,10001197,NA,HIFLD,HIFLD,223 SASSER DR,HAMILTON,35570,34.12434611,-87.99171938,MARION,1093,http://www.doc.state.al.us/FacAddr.aspx,state
19,Alabama,HAMILTON CBF,HAMILTON COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,220,264,10001199,NA,HIFLD,HIFLD,1826 BEXAR AVE E,HAMILTON,35570,34.14329559,-87.95895958,MARION,1093,http://www.doc.state.al.us/FacAddr.aspx,state
19,Alabama,HAMILTON COMMUNITY BASED FACILITY,HAMILTON COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,220,264,10001199,NA,HIFLD,HIFLD,1826 BEXAR AVE E,HAMILTON,35570,34.14329559,-87.95895958,MARION,1093,http://www.doc.state.al.us/FacAddr.aspx,state
19,Alabama,HAMILTON COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,HAMILTON COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,220,264,10001199,NA,HIFLD,HIFLD,1826 BEXAR AVE E,HAMILTON,35570,34.14329559,-87.95895958,MARION,1093,http://www.doc.state.al.us/FacAddr.aspx,state
20,Alabama,HOLMAN,HOLMAN CORRECTIONAL FACILITY,NA,Prison,Max,Adult,Male,0,NA,700,1002,10000149,NA,HIFLD,HIFLD,866 ROSS RD,ATMORE,36503,31.13438612,-87.4498642,ESCAMBIA,1053,http://www.doc.state.al.us/FacAddr.aspx,state
20,Alabama,HOLMAN CORRECTIONAL FACILITY,HOLMAN CORRECTIONAL FACILITY,NA,Prison,Max,Adult,Male,0,NA,700,1002,10000149,NA,HIFLD,HIFLD,866 ROSS RD,ATMORE,36503,31.13438612,-87.4498642,ESCAMBIA,1053,http://www.doc.state.al.us/FacAddr.aspx,state
1803,Alabama,ICE ETOWAH COUNTY DETENTION CENTER GADSDEN AL,ICE ETOWAH COUNTY JAIL ALABAMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.01573709,-86.01193283,NA,NA,https://www.ice.gov/coronavirus,immigration
1803,Alabama,ICE ETOWAH COUNTY JAIL,ICE ETOWAH COUNTY JAIL ALABAMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.01573709,-86.01193283,NA,NA,https://www.ice.gov/coronavirus,immigration
1803,Alabama,ICE ETOWAH COUNTY JAIL ALABAMA,ICE ETOWAH COUNTY JAIL ALABAMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.01573709,-86.01193283,NA,NA,https://www.ice.gov/coronavirus,immigration
21,Alabama,KEETON CORRECTIONS INC BIRMINGHAM RRC,KEETON CORRECTIONS INC BIRMINGHAM RRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,NA,federal
22,Alabama,KILBY,KILBY CORRECTIONAL FACILITY,NA,Reception Center,Max/Min,Adult,Male,0,NA,1231,1421,10001221,NA,HIFLD,HIFLD,12201 WARES FERRY RD,MONTGOMERY,36117,32.38835654,-86.1009811,MONTGOMERY,1101,http://www.doc.state.al.us/FacAddr.aspx,state
22,Alabama,KILBY CORRECTIONAL FACILITY,KILBY CORRECTIONAL FACILITY,NA,Reception Center,Max/Min,Adult,Male,0,NA,1231,1421,10001221,NA,HIFLD,HIFLD,12201 WARES FERRY RD,MONTGOMERY,36117,32.38835654,-86.1009811,MONTGOMERY,1101,http://www.doc.state.al.us/FacAddr.aspx,state
23,Alabama,LIMESTONE,LIMESTONE CORRECTIONAL FACILITY,NA,Prison,Med,Adult,Male,0,NA,2107,2086,10000129,NA,HIFLD,HIFLD,28779 NICK DAVIS RD,HARVEST,35749,34.81254392,-86.80413307,LIMESTONE,1083,http://www.doc.state.al.us/FacAddr.aspx,state
23,Alabama,LIMESTONE CORRECTIONAL FACILITY,LIMESTONE CORRECTIONAL FACILITY,NA,Prison,Med,Adult,Male,0,NA,2107,2086,10000129,NA,HIFLD,HIFLD,28779 NICK DAVIS RD,HARVEST,35749,34.81254392,-86.80413307,LIMESTONE,1083,http://www.doc.state.al.us/FacAddr.aspx,state
24,Alabama,LOXLEY,LOXLEY COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,356,562,10000146,NA,HIFLD,HIFLD,14880 COUNTY RD 64,LOXLEY,36551,30.6153358,-87.77030984,BALDWIN,1003,http://www.doc.state.al.us/FacAddr.aspx,state
24,Alabama,LOXLEY COMMUNITY BASED FACILITY,LOXLEY COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,356,562,10000146,NA,HIFLD,HIFLD,14880 COUNTY RD 64,LOXLEY,36551,30.6153358,-87.77030984,BALDWIN,1003,http://www.doc.state.al.us/FacAddr.aspx,state
24,Alabama,LOXLEY COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,LOXLEY COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,356,562,10000146,NA,HIFLD,HIFLD,14880 COUNTY RD 64,LOXLEY,36551,30.6153358,-87.77030984,BALDWIN,1003,http://www.doc.state.al.us/FacAddr.aspx,state
25,Alabama,MOBILE,MOBILE COMMUNITY BASED FACILITY,NA,Transitional Center,NA,NA,NA,0,NA,192,254,10000150,NA,HIFLD,HIFLD,2423 N BELTLINE HWY,PRITCHARD,36610,30.73788106,-88.10905742,MOBILE,1097,http://www.doc.state.al.us/FacAddr.aspx,state
25,Alabama,MOBILE COMMUNITY BASED FACILITY,MOBILE COMMUNITY BASED FACILITY,NA,Transitional Center,NA,NA,NA,0,NA,192,254,10000150,NA,HIFLD,HIFLD,2423 N BELTLINE HWY,PRITCHARD,36610,30.73788106,-88.10905742,MOBILE,1097,http://www.doc.state.al.us/FacAddr.aspx,state
25,Alabama,MOBILE COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,MOBILE COMMUNITY BASED FACILITY,NA,Transitional Center,NA,NA,NA,0,NA,192,254,10000150,NA,HIFLD,HIFLD,2423 N BELTLINE HWY,PRITCHARD,36610,30.73788106,-88.10905742,MOBILE,1097,http://www.doc.state.al.us/FacAddr.aspx,state
26,Alabama,MONTGOMERY FEDERAL PRISON CAMP,MONTGOMERY FEDERAL PRISON CAMP,NA,Prison,Min,Adult,Male,0,NA,858,920,10000141,NA,HIFLD,HIFLD,MAXWELL AIR FORCE BASE,MONTGOMERY,36112,32.39424124,-86.35915818,MONTGOMERY,1101,https://www.bop.gov/locations/,federal
26,Alabama,MONTGOMERY FPC,MONTGOMERY FEDERAL PRISON CAMP,NA,Prison,Min,Adult,Male,0,NA,858,920,10000141,NA,HIFLD,HIFLD,MAXWELL AIR FORCE BASE,MONTGOMERY,36112,32.39424124,-86.35915818,MONTGOMERY,1101,https://www.bop.gov/locations/,federal
27,Alabama,MONTGOMERY,MONTGOMERY WOMENS FACILITY,NA,Transitional Center,Min,Adult,Female,0,NA,274,300,10001222,NA,HIFLD,HIFLD,12085 WARES FERRY RD,MONTGOMERY,36117,32.38964157,-86.09912245,MONTGOMERY,1101,http://www.doc.state.al.us/FacAddr.aspx,state
27,Alabama,MONTGOMERY WF,MONTGOMERY WOMENS FACILITY,NA,Transitional Center,Min,Adult,Female,0,NA,274,300,10001222,NA,HIFLD,HIFLD,12085 WARES FERRY RD,MONTGOMERY,36117,32.38964157,-86.09912245,MONTGOMERY,1101,http://www.doc.state.al.us/FacAddr.aspx,state
27,Alabama,MONTGOMERY WOMENS FACILITY,MONTGOMERY WOMENS FACILITY,NA,Transitional Center,Min,Adult,Female,0,NA,274,300,10001222,NA,HIFLD,HIFLD,12085 WARES FERRY RD,MONTGOMERY,36117,32.38964157,-86.09912245,MONTGOMERY,1101,http://www.doc.state.al.us/FacAddr.aspx,state
28,Alabama,NORTH ALABAMA,NORTH ALABAMA COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,555,740,10003698,NA,HIFLD,HIFLD,1401 STATE HIGHWAY 20 WEST,DECATUR,35601,34.61756728,-87.00562813,MORGAN,1103,http://www.doc.state.al.us/FacAddr.aspx,state
28,Alabama,NORTH ALABAMA COMMUNITY BASED FACILITY,NORTH ALABAMA COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,555,740,10003698,NA,HIFLD,HIFLD,1401 STATE HIGHWAY 20 WEST,DECATUR,35601,34.61756728,-87.00562813,MORGAN,1103,http://www.doc.state.al.us/FacAddr.aspx,state
28,Alabama,NORTH ALABAMA COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,NORTH ALABAMA COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,555,740,10003698,NA,HIFLD,HIFLD,1401 STATE HIGHWAY 20 WEST,DECATUR,35601,34.61756728,-87.00562813,MORGAN,1103,http://www.doc.state.al.us/FacAddr.aspx,state
29,Alabama,RED EAGLE,RED EAGLE COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,333,340,10001218,NA,HIFLD,HIFLD,1290 RED EAGLE RD,MONTGOMERY,36110,32.46559439,-86.23690422,MONTGOMERY,1101,http://www.doc.state.al.us/FacAddr.aspx,state
29,Alabama,RED EAGLE COMMUNITY BASED FACILITY,RED EAGLE COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,333,340,10001218,NA,HIFLD,HIFLD,1290 RED EAGLE RD,MONTGOMERY,36110,32.46559439,-86.23690422,MONTGOMERY,1101,http://www.doc.state.al.us/FacAddr.aspx,state
29,Alabama,RED EAGLE COMMUNITY WORK CENTER,RED EAGLE COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,333,340,10001218,NA,HIFLD,HIFLD,1290 RED EAGLE RD,MONTGOMERY,36110,32.46559439,-86.23690422,MONTGOMERY,1101,http://www.doc.state.al.us/FacAddr.aspx,state
30,Alabama,REGIONAL TRAINING CENTERS,REGIONAL TRAINING CENTERS,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state
31,Alabama,RRC BIRMINGHAM ALABAMA,RRC BIRMINGHAM ALABAMA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,federal
31,Alabama,RRC BIRMINGHAM ALABAMA,RRC BIRMINGHAM ALABAMA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,federal
32,Alabama,RRC SPANISH FORT ALABAMA,RRC SPANISH FORT ALABAMA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,federal
32,Alabama,RRC SPANISH FORT ALABAMA,RRC SPANISH FORT ALABAMA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,federal
33,Alabama,ST CLAIR,ST CLAIR CORRECTIONAL FACILITY,NA,Prison,Max,Adult,Male,0,NA,964,1514,10003710,NA,HIFLD,HIFLD,1000 SAINT CLAIR ROAD,SPRINGVILLE,35146,33.74558817,-86.38437373,ST CLAIR,1115,http://www.doc.state.al.us/FacAddr.aspx,state
33,Alabama,ST CLAIR CORRECTIONAL FACILITY,ST CLAIR CORRECTIONAL FACILITY,NA,Prison,Max,Adult,Male,0,NA,964,1514,10003710,NA,HIFLD,HIFLD,1000 SAINT CLAIR ROAD,SPRINGVILLE,35146,33.74558817,-86.38437373,ST CLAIR,1115,http://www.doc.state.al.us/FacAddr.aspx,state
34,Alabama,STATEWIDE,STATEWIDE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state
35,Alabama,STATON,STATON CORRECTIONAL FACILITY,NA,Prison,Max/Med,Adult,Male,0,NA,1303,1376,10000140,NA,HIFLD,HIFLD,2690 MARION SPILLWAY RD,ELMORE,36025,32.577215700000004,-86.33248852,ELMORE,1051,http://www.doc.state.al.us/FacAddr.aspx,state
35,Alabama,STATON CORRECTIONAL FACILITY,STATON CORRECTIONAL FACILITY,NA,Prison,Max/Med,Adult,Male,0,NA,1303,1376,10000140,NA,HIFLD,HIFLD,2690 MARION SPILLWAY RD,ELMORE,36025,32.577215700000004,-86.33248852,ELMORE,1051,http://www.doc.state.al.us/FacAddr.aspx,state
36,Alabama,TALLADEGA AL,TALLADEGA AL,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1121,NA,federal
37,Alabama,FCI TALLADEGA,TALLADEGA FEDERAL CORRECTIONAL INSTITUTION,NA,Prison,Med/Min,Adult,Male,0,NA,793,624,10000136,NA,HIFLD,HIFLD,565 EAST RENFROE ROAD,TALLADEGA,35160,33.42063528,-86.14008892,TALLADEGA,1121,https://www.bop.gov/locations/,federal
37,Alabama,TALLADEGA FCI,TALLADEGA FEDERAL CORRECTIONAL INSTITUTION,NA,Prison,Med/Min,Adult,Male,0,NA,793,624,10000136,NA,HIFLD,HIFLD,565 EAST RENFROE ROAD,TALLADEGA,35160,33.42063528,-86.14008892,TALLADEGA,1121,https://www.bop.gov/locations/,federal
37,Alabama,TALLADEGA FEDERAL CORRECTIONAL INSTITUTION,TALLADEGA FEDERAL CORRECTIONAL INSTITUTION,NA,Prison,Med/Min,Adult,Male,0,NA,793,624,10000136,NA,HIFLD,HIFLD,565 EAST RENFROE ROAD,TALLADEGA,35160,33.42063528,-86.14008892,TALLADEGA,1121,https://www.bop.gov/locations/,federal
