"","name_raw","name_clean","state","jurisdiction"
"74","SAFFORD","SAFFORD STATE PRISON","Arizona","state"
"75","TUCSON","TUCSON STATE PRISON","Arizona","state"
"76","WINSLOW","WINSLOW STATE PRISON","Arizona","state"
"77","YUMA","YUMA STATE PRISON","Arizona","state"
"78","FORREST CITY LOW FEDERAL CORRECTIONAL INSTITUTION","FORREST CITY LOW FEDERAL CORRECTIONAL INSTITUTION","Arkansas","federal"
"79","FORREST CITY MEDIUM FEDERAL CORRECTIONAL INSTITUTION","FORREST CITY MEDIUM FEDERAL CORRECTIONAL INSTITUTION","Arkansas","federal"
"80","LOS ANGELES JAILS","LOS ANGELES JAILS","California","county"
"81","ORANGE COUNTY JAILS","ORANGE COUNTY JAILS","California","county"
"82","ATWATER UNITED STATES PENITENTIARY","ATWATER UNITED STATES PENITENTIARY","California","federal"
"83","BRAWLEY RESIDENTIAL REENTRY CENTER","BRAWLEY RESIDENTIAL REENTRY CENTER","California","federal"
"84","CORRECTIONAL ALTERNATIVES INC RESIDENTIAL REENTRY CENTER SAN DIEGO","CORRECTIONAL ALTERNATIVES INC RESIDENTIAL REENTRY CENTER SAN DIEGO","California","federal"
"85","DUBLIN FEDERAL CORRECTIONAL INSTITUTION","DUBLIN FEDERAL CORRECTIONAL INSTITUTION","California","federal"
"86","GEO CARE EL MONTE","GEO CARE EL MONTE","California","federal"
"87","GEO REENTRY OF ALASKA INC RESIDENTIAL REENTRY CENTER OAKLAND","GEO REENTRY OF ALASKA INC RESIDENTIAL REENTRY CENTER OAKLAND","California","federal"
"88","GEO TAYLOR ST FACILITY RESIDENTIAL REENTRY CENTER","GEO TAYLOR ST FACILITY RESIDENTIAL REENTRY CENTER","California","federal"
"89","HERLONG FEDERAL CORRECTIONAL INSTITUTION","HERLONG FEDERAL CORRECTIONAL INSTITUTION","California","federal"
"90","LOMPOC FEDERAL CORRECTIONAL INSTITUTION","LOMPOC FEDERAL CORRECTIONAL INSTITUTION","California","federal"
"91","LOMPOC UNITED STATES PENITENTIARY","LOMPOC UNITED STATES PENITENTIARY","California","federal"
"92","LOS ANGELES MDC","LOS ANGELES MTROPOLITAN DETENTION CENTER","California","federal"
"93","MENDOTA FEDERAL CORRECTIONAL INSTITUTION","MENDOTA FEDERAL CORRECTIONAL INSTITUTION","California","federal"
"94","SAN DIEGO MCC","SAN DIEGO METROPOLITAN CORRECTIONAL CENTER","California","federal"
"95","TERMINAL ISLAND FEDERAL CORRECTIONAL INSTITUTION","TERMINAL ISLAND FEDERAL CORRECTIONAL INSTITUTION","California","federal"
"96","VICTORVILLE MEDIUM I FEDERAL CORRECTIONAL INSTITUTION","VICTORVILLE MEDIUM I FEDERAL CORRECTIONAL INSTITUTION","California","federal"
"97","VICTORVILLE MEDIUM II FEDERAL CORRECTIONAL INSTITUTION","VICTORVILLE MEDIUM II FEDERAL CORRECTIONAL INSTITUTION","California","federal"
"98","VICTORVILLE UNITED STATES PENITENTIARY","VICTORVILLE UNITED STATES PENITENTIARY","California","federal"
"99","WESTERN RO","WESTERN REGIONAL OFFICE","California","federal"
"100","AVENAL STATE PRISON","AVENAL STATE PRISON","California","state"
"101","AVENAL STATE PRISON (ASP)","AVENAL STATE PRISON","California","state"
"102","CA CORRECTIONAL CENTER","CALIFORNIA CORRECTIONAL CENTER","California","state"
"103","CA CORRECTIONAL INSTITUTION","CALIFORNIA CORRECTIONAL INSTITUTION","California","state"
"104","CA INSTITUTION FOR MEN","CALIFORNIA INSTITUTION FOR MEN","California","state"
"105","CA INSTITUTION FOR WOMEN","CALIFORNIA INSTITUTION FOR WOMEN","California","state"
"106","CA MEDICAL FACILITY","CALIFORNIA MEDICAL FACILITY","California","state"
"107","CA MENS COLONY","CALIFORNIA MENS COLONY","California","state"
"108","CA REHABILITATION CENTER","CALIFORNIA REHABILITATION CENTER","California","state"
"109","CA STATE PRISON CORCORAN","CALIFORNIA STATE PRISON CORCORAN","California","state"
"110","CA STATE PRISON, LA COUNTY","CALIFORNIA STATE PRISON LOS ANGELES","California","state"
"111","CA STATE PRISON, SACRAMENTO","CALIFORNIA STATE PRISON SACRAMENTO","California","state"
"112","CA STATE PRISON, SAN QUENTIN","CALIFORNIA STATE PRISON SAN QUENTIN","California","state"
"113","CA STATE PRISON, SOLANO","CALIFORNIA STATE PRISON SOLANO","California","state"
"114","CAC CALIFORNIA CITY CORRECTIONAL FACILITY","CALIFORNIA CITY CORRECTIONAL FACILITY","California","state"
"115","CALIFORNIA CORRECTIONAL CENTER (CCC)","CALIFORNIA CORRECTIONAL CENTER","California","state"
"116","CALIFORNIA CORRECTIONAL INSTITUTION (CCI)","CALIFORNIA CORRECTIONAL INSTITUTION","California","state"
"117","CALIFORNIA HEALTH CARE FACILITY","CALIFORNIA HEALTH CARE FACILITY","California","state"
"118","CALIFORNIA HEALTH CARE FACILITY (CHCF)","CALIFORNIA HEALTH CARE FACILITY","California","state"
"119","CALIFORNIA INSTITUTION FOR MEN (CIM)","CALIFORNIA INSTITUTION FOR MEN","California","state"
"120","CALIFORNIA INSTITUTION FOR WOMEN (CIW)","CALIFORNIA INSTITUTION FOR WOMEN","California","state"
"121","CALIFORNIA MEDICAL FACILITY (CMF)","CALIFORNIA MEDICAL FACILITY","California","state"
"122","CALIFORNIA MEN’S COLONY (CMC)","CALIFORNIA MENS COLONY","California","state"
"123","CALIFORNIA REHABILITATION CENTER (CRC)","CALIFORNIA REHABILITATION CENTER","California","state"
"124","CALIFORNIA STATE PRISON, CORCORAN (COR)","CALIFORNIA STATE PRISON CORCORAN","California","state"
"125","CALIFORNIA STATE PRISON, LOS ANGELES COUNTY (LAC)","CALIFORNIA STATE PRISON LOS ANGELES","California","state"
"126","CALIFORNIA STATE PRISON, SACRAMENTO (SAC)","CALIFORNIA STATE PRISON SACRAMENTO","California","state"
"127","CALIFORNIA STATE PRISON, SOLANO (SOL)","CALIFORNIA STATE PRISON SOLANO","California","state"
"128","CALIPATRIA STATE PRISON","CALIPATRIA STATE PRISON","California","state"
"129","CALIPATRIA STATE PRISON (CAL)","CALIPATRIA STATE PRISON","California","state"
"130","CDCR/CCHCS WORKSITE LOCATION – FRESNO COUNTY","FRESNO COUNTY WORKSITE LOCATION","California","state"
"131","CDCR/CCHCS WORKSITE LOCATION – IMPERIAL COUNTY","IMPERIAL COUNTY WORKSITE LOCATION","California","state"
"132","CDCR/CCHCS WORKSITE LOCATION – MENDOCINO COUNTY","MENDOCINO COUNTY WORKSITE LOCATION","California","state"
"133","CDCR/CCHCS WORKSITE LOCATION – MONTEREY COUNTY","MONTEREY COUNTY WORKSITE LOCATION","California","state"
"134","CDCR/CCHCS WORKSITE LOCATION – ORANGE COUNTY","ORANGE COUNTY WORKSITE LOCATION","California","state"
"135","CDCR/CCHCS WORKSITE LOCATION – RIVERSIDE COUNTY","RIVERSIDE COUNTY WORKSITE LOCATION","California","state"
"136","CDCR/CCHCS WORKSITE LOCATION – SAN LUIS OBISPO COUNTY","SAN LUIS OBISPO COUNTY WORKSITE LOCATION","California","state"
"137","CDCR/CCHCS WORKSITE LOCATION – SANTA BARBARA COUNTY","SANTA BARBARA COUNTY WORKSITE LOCATION","California","state"
"138","CDCR/CCHCS WORKSITE LOCATION – SANTA CLARA COUNTY","SANTA CLARA COUNTYWORKSITE LOCATION","California","state"
"139","CDCR/CCHCS WORKSITE LOCATION – SOLANO COUNTY","SOLANO COUNTY WORKSITE LOCATION","California","state"
"140","CDCR/CCHCS WORKSITE LOCATION – STANISLAUS COUNTY","STANISLAUS COUNTY WORKSITE LOCATION","California","state"
"141","CDCR/CCHCS WORKSITE LOCATION – TULARE COUNTY","TULARE COUNTYWORKSITE LOCATION","California","state"
"142","CDCR/CCHCS WORKSITE LOCATION – VENTURA COUNTY","VENTURA COUNTY WORKSITE LOCATION","California","state"
"143","CDCR/CCHCS WORKSITE LOCATION — SAN DIEGO COUNTY","SAN DIEGO COUNTY WORKSITE LOCATION","California","state"
"144","CDCR/CCHCS WORKSITE LOCATION —LOS ANGELES COUNTY","LOS ANGELES COUNTY WORKSITE LOCATION","California","state"
"145","CDCR/CCHCS WORKSITE LOCATION —SAN JOAQUIN COUNTY","SAN JOAQUIN COUNTY WORKSITE LOCATION","California","state"
"146","CDCR/CCHCS WORKSITE LOCATION—KERN COUNTY","KERN COUNTY WORKSITE LOCATION","California","state"
"147","CDCR/CCHCS WORKSITE LOCATION—SACRAMENTO COUNTY","SACRAMENTO COUNTY WORKSITE LOCATION","California","state"
"148","CDCR/CCHCS WORKSITE LOCATION—SAN BERNARDINO COUNTY","SAN BERNARDINO COUNTY WORKSITE LOCATION","California","state"
"149","CENTINELA STATE PRISON","CENTINELA STATE PRISON","California","state"
"150","CENTINELA STATE PRISON (CEN)","CENTINELA STATE PRISON","California","state"
"151","CENTRAL CA WOMEN'S FACILITY","CENTRAL CALIFORNIA WOMENS FACILITY","California","state"
"152","CENTRAL CALIFORNIA WOMEN’S FACILITY (CCWF)","CENTRAL CALIFORNIA WOMENS FACILITY","California","state"
"153","CHUCKAWALLA VALLEY STATE PRISON","CHUCKAWALLA VALLEY STATE PRISON","California","state"
"154","CHUCKAWALLA VALLEY STATE PRISON (CVSP)","CHUCKAWALLA VALLEY STATE PRISON","California","state"
"155","CORRECTIONAL TRAINING FACILITY","CORRECTIONAL TRAINING FACILITY","California","state"
"156","CORRECTIONAL TRAINING FACILITY (CTF)","CORRECTIONAL TRAINING FACILITY","California","state"
"157","DEUEL VOCATIONAL INSTITUTION","DEUEL VOCATIONAL INSTITUTION","California","state"
"158","DEUEL VOCATIONAL INSTITUTION (DVI)","DEUEL VOCATIONAL INSTITUTION","California","state"
"159","FOLSOM STATE PRISON","FOLSOM STATE PRISON","California","state"
"160","FOLSOM STATE PRISON (FSP)","FOLSOM STATE PRISON","California","state"
"161","HIGH DESERT STATE PRISON","HIGH DESERT STATE PRISON","California","state"
"162","HIGH DESERT STATE PRISON (HDSP)","HIGH DESERT STATE PRISON","California","state"
"163","IRONWOOD STATE PRISON","IRONWOOD STATE PRISON","California","state"
"164","IRONWOOD STATE PRISON (ISP)","IRONWOOD STATE PRISON","California","state"
"165","KERN VALLEY STATE PRISON","KERN VALLEY STATE PRISON","California","state"
"166","KERN VALLEY STATE PRISON (KVSP)","KERN VALLEY STATE PRISON","California","state"
"167","MULE CREEK STATE PRISON","MULE CREEK STATE PRISON","California","state"
"168","MULE CREEK STATE PRISON (MCSP)","MULE CREEK STATE PRISON","California","state"
"169","NA CHADERJIAN YOUTH CORRECTIONAL FACILITY (NAC)","NA CHADERJIAN YOUTH CORRECTIONAL FACILITY","California","state"
"170","NORTH KERN STATE PRISON","NORTH KERN STATE PRISON","California","state"
"171","NORTH KERN STATE PRISON (NKSP)","NORTH KERN STATE PRISON","California","state"
"172","NORTHERN CALIFORNIA YOUTH CORRECTIONAL CENTER (NCYCC)","NORTHERN CALIFORNIA YOUTH CORRECTIONAL CENTER","California","state"
"173","OH CLOSE YOUTH CORRECTIONAL FACILITY (OH CLOSE)","OH CLOSE YOUTH CORRECTIONAL FACILITY","California","state"
"174","PBSP PELICAN BAY STATE PRISON","PELICAN BAY STATE PRISON","California","state"
"175","PELICAN BAY STATE PRISON (PBSP)","PELICAN BAY STATE PRISON","California","state"
"176","PINE GROVE JUVENILE PRISON CAMP","PINE GROVE JUVENILE PRISON CAMP","California","state"
"177","PLEASANT VALLEY STATE PRISON","PLEASANT VALLEY STATE PRISON","California","state"
"178","PLEASANT VALLEY STATE PRISON (PVSP)","PLEASANT VALLEY STATE PRISON","California","state"
"179","R.J. DONOVAN CORR. FAC. ROCK MTN.","RJ DONOVAN CORRECTIONAL FACILITY","California","state"
"180","RICHARD A. MCGEE CORRECTIONAL TRAINING CENTER, GALT (CTC)","RICHARD A MCGEE CORRECTIONAL TRAINING CENTER","California","state"
"181","RICHARD J. DONOVAN CORRECTIONAL FACILITY (RJD)","RJ DONOVAN CORRECTIONAL FACILITY","California","state"
"182","SALINAS VALLEY STATE PRISON","SALINAS VALLEY STATE PRISON","California","state"
"183","SALINAS VALLEY STATE PRISON (SVSP)","SALINAS VALLEY STATE PRISON","California","state"
"184","SAN QUENTIN STATE PRISON (SQ)","SAN QUENTIN STATE PRISON","California","state"
"185","SIERRA CONSERVATION CENTER","SIERRA CONSERVATION CENTER","California","state"
"186","SIERRA CONSERVATION CENTER (SCC)","SIERRA CONSERVATION CENTER","California","state"
"187","SUBSTANCE ABUSE TREATMENT FACILITY","SUBSTANCE ABUSE TREATMENT FACILITY","California","state"
"188","SUBSTANCE ABUSE TREATMENT FACILITY (SATF)","SUBSTANCE ABUSE TREATMENT FACILITY","California","state"
"189","VALLEY STATE PRISON","VALLEY STATE PRISON","California","state"
"190","VALLEY STATE PRISON (VSP)","VALLEY STATE PRISON","California","state"
"191","VENTURA","VENTURA","California","state"
"192","WASCO STATE PRISON","WASCO STATE PRISON","California","state"
"193","WASCO STATE PRISON (WSP)","WASCO STATE PRISON","California","state"
"194","ENGLEWOOD FEDERAL CORRECTIONAL INSTITUTION","ENGLEWOOD FEDERAL CORRECTIONAL INSTITUTION","Colorado","federal"
"195","FLORENCE ADMAX UNITED STATES PENITENTIARY","FLORENCE ADMAX UNITED STATES PENITENTIARY","Colorado","federal"
"196","FLORENCE FEDERAL CORRECTIONAL INSTITUTION","FLORENCE FEDERAL CORRECTIONAL INSTITUTION","Colorado","federal"
"197","FLORENCE HIGH UNITED STATES PENITENTIARY","FLORENCE HIGH UNITED STATES PENITENTIARY","Colorado","federal"
"198","ARKANSAS VALLEY CORRECTIONAL FACILITY","ARKANSAS VALLEY CORRECTIONAL FACILITY","Colorado","state"
"199","ARROWHEAD CORRECTIONAL FACILITY","ARROWHEAD CORRECTIONAL FACILITY","Colorado","state"
"200","BENT COUNTY CORRECTIONAL FACILITY","BENT COUNTY CORRECTIONAL FACILITY","Colorado","state"
"201","BUENA VISTA CORRECTIONAL COMPLEX","BUENA VISTA CORRECTIONAL COMPLEX","Colorado","state"
"202","CENTENNIAL CORRECTIONAL FACILITY","CENTENNIAL CORRECTIONAL FACILITY","Colorado","state"
"203","COLORADO CORRECTIONAL CENTER","COLORADO CORRECTIONAL CENTER","Colorado","state"
"204","COLORADO STATE PENITENTIARY","COLORADO STATE PENITENTIARY","Colorado","state"
"205","COLORADO TERRITORIAL CORRECTIONAL FACILITY","COLORADO TERRITORIAL CORRECTIONAL FACILITY","Colorado","state"
"206","CROWLEY COUNTY CORRECTIONAL FACILITY","CROWLEY COUNTY CORRECTIONAL FACILITY","Colorado","state"
"207","DELTA CORRECTIONAL FACILITY","DELTA CORRECTIONAL FACILITY","Colorado","state"
"208","DELTA CORRECTIONAL FACILITY","DELTA CORRECTIONAL FACILITY","Mississippi","state"
"209","DENVER RECEPTION DIAGNOSTIC CENTER","DENVER RECEPTION DIAGNOSTIC CENTER","Colorado","state"
"210","DENVER WOMENS CORRECTIONAL FACILITY","DENVER WOMENS CORRECTIONAL FACILITY","Colorado","state"
"211","FOUR MILE CORRECTIONAL FACILITY","FOUR MILE CORRECTIONAL FACILITY","Colorado","state"
"212","FREMONT CORRECTIONAL FACILITY","FREMONT CORRECTIONAL FACILITY","Colorado","state"
"213","LA VISTA CORRECTIONAL FACILITY","LA VISTA CORRECTIONAL FACILITY","Colorado","state"
"214","LIMON CORRECTIONAL FACILITY","LIMON CORRECTIONAL FACILITY","Colorado","state"
"215","RIFLE CORRECTIONAL CENTER","RIFLE CORRECTIONAL CENTER","Colorado","state"
"216","SAN CARLOS CORRECTIONAL FACILITY","SAN CARLOS CORRECTIONAL FACILITY","Colorado","state"
"217","SKYLINE CORRECTIONAL CENTER","SKYLINE CORRECTIONAL CENTER","Colorado","state"
"218","STERLING CORRECTIONAL FACILITY","STERLING CORRECTIONAL FACILITY","Colorado","state"
"219","TRINIDAD CORRECTIONAL FACILITY","TRINIDAD CORRECTIONAL FACILITY","Colorado","state"
"220","YOUTHFUL OFFENDER SYSTEM","YOUTHFUL OFFENDER SYSTEM","Colorado","state"
"221","DANBURY FEDERAL CORRECTIONAL INSTITUTION","DANBURY FEDERAL CORRECTIONAL INSTITUTION","Connecticut","federal"
"222","BRIDGEPORT CORRECTIONAL CENTER","BRIDGEPORT CORRECTIONAL CENTER","Connecticut","state"
"223","BROOKLYN CORRECTIONAL INSTITUTION","BROOKLYN CORRECTIONAL INSTITUTION","Connecticut","state"
"224","CARL ROBINSON CORRECTIONAL INSTITUTION","CARL ROBINSON CORRECTIONAL INSTITUTION","Connecticut","state"
"225","CHESHIRE CORRECTIONAL INSTITUTION","CHESHIRE CORRECTIONAL INSTITUTION","Connecticut","state"
"226","CORRIGAN RADGOWSKI CORRECTIONAL CENTER","CORRIGAN RADGOWSKI CORRECTIONAL CENTER","Connecticut","state"
"227","GARNER CORRECTIONAL INSTITUTION","GARNER CORRECTIONAL INSTITUTION","Connecticut","state"
"228","HARTFORD CORRECTIONAL CENTER","HARTFORD CORRECTIONAL CENTER","Connecticut","state"
"229","MACDOUGALL WALKER CORRECTIONAL INSTITUTION","MACDOUGALL WALKER CORRECTIONAL INSTITUTION","Connecticut","state"
"230","MACDOUGALL WALKER CORRECTIONAL INSTITUTION","MACDOUGALL WALKER CORRECTIONAL INSTITUTION INFIRMIRY","Connecticut","state"
"231","MANSON YOUTH","MANSON YOUTH CORRECTIONAL CENTER","Connecticut","state"
"232","NEW HAVEN CORRECTIONAL CENTER","NEW HAVEN CORRECTIONAL CENTER","Connecticut","state"
"233","NORTHERN CORRECTIONAL INSTITUTION","NORTHERN CORRECTIONAL INSTITUTION","Connecticut","state"
"234","OSBORN CORRECTIONAL INSTITUTION","OSBORN CORRECTIONAL INSTITUTION","Connecticut","state"
"235","WILLARD CYBULSKI CORRECTIONAL INSTITUTION","WILLARD CYBULSKI CORRECTIONAL INSTITUTION","Connecticut","state"
"236","YORK CORRECTIONAL INSTITUTION","YORK CORRECTIONAL INSTITUTION","Connecticut","state"
"237","CENTRAL OFFICE HQ","CENTRAL OFFICE HEADQUARTERS","DC","federal"
"238","CENTRAL OFFICE HQ","CENTRAL OFFICE HEADQUARTERS","New Jersey","state"
"239","COUNTY-WIDE","COUNTYWIDE","DC","state"
"240","DELORES J BAYLOR WOMANS CORRECTIONAL INSTITUTION","DELORES J BAYLOR WOMANS CORRECTIONAL INSTITUTION","Delaware","state"
"241","HAZEL D PLANT WOMANS TREATMENT FACILITY","HAZEL D PLANT WOMANS TREATMENT FACILITY","Delaware","state"
"242","HOWARD R YOUNG CORRECTIONAL INSTITUTION","HOWARD R YOUNG CORRECTIONAL INSTITUTION","Delaware","state"
"243","JAMES T VAUGHN CORRECTIONAL CENTER","JAMES T VAUGHN CORRECTIONAL CENTER","Delaware","state"
"244","MORRIS COMMUNITY CORRECTIONS CENTER","MORRIS COMMUNITY CORRECTIONS CENTER","Delaware","state"
"245","PLUMMER COMMUNITY CORRECTIONS CENTER","PLUMMER COMMUNITY CORRECTIONS CENTER","Delaware","state"
"246","SUSSEX COMMUNITY CORRECTIONS CENTER","SUSSEX COMMUNITY CORRECTIONS CENTER","Delaware","state"
"247","SUSSEX CORRECTIONAL INSTITUTION","SUSSEX CORRECTIONAL INSTITUTION","Delaware","state"
"248","ST LUCE COUNTY JAIL","ST LUCE COUNTY JAIL","Florida","county"
"249","COLEMAN I UNITED STATES PENITENTIARY","COLEMAN I UNITED STATES PENITENTIARY","Florida","federal"
"250","COLEMAN II UNITED STATES PENITENTIARY","COLEMAN II UNITED STATES PENITENTIARY","Florida","federal"
"251","COLEMAN LOW FEDERAL CORRECTIONAL INSTITUTION","COLEMAN LOW FEDERAL CORRECTIONAL INSTITUTION","Florida","federal"
"252","COLEMAN MEDIUM FEDERAL CORRECTIONAL INSTITUTION","COLEMAN MEDIUM FEDERAL CORRECTIONAL INSTITUTION","Florida","federal"
"253","DISMAS CHARITIES OF ORLANDO","DISMAS CHARITIES OF ORLANDO","Florida","federal"
"254","JACKSONVILLE RESID REENTRY CTR","JACKSONVILLE RESIDENTIAL REENTRY CENTER","Florida","federal"
"255","MARIANNA FEDERAL CORRECTIONAL INSTITUTION","MARIANNA FEDERAL CORRECTIONAL INSTITUTION","Florida","federal"
"256","MIAMI FEDERAL CORRECTIONAL INSTITUTION","MIAMI FEDERAL CORRECTIONAL INSTITUTION","Florida","federal"
"257","MIAMI FEDERAL DETENTION CENTER","MIAMI FEDERAL DETENTION CENTER","Florida","federal"
"258","PENSACOLA FEDERAL PRISON CAMP","PENSACOLA FEDERAL PRISON CAMP","Florida","federal"
"259","SALVATION ARMY FORT MYERS FLORIDA","SALVATION ARMY FORT MYERS FLORIDA","Florida","federal"
"260","SALVATION ARMY RESIDENTIAL REENTRY CENTER WEST PALM BEACH","SALVATION ARMY RESIDENTIAL REENTRY CENTER WEST PALM BEACH","Florida","federal"
"261","TALLAHASSEE FEDERAL CORRECTIONAL INSTITUTION","TALLAHASSEE FEDERAL CORRECTIONAL INSTITUTION","Florida","federal"
"262","APALACHEE CORRECTIONAL INSTITUTION","APALACHEE CORRECTIONAL INSTITUTION","Florida","state"
"263","AVON PARK CORRECTIONAL INSTITUTION","AVON PARK CORRECTIONAL INSTITUTION","Florida","state"
"264","BAKER CORRECTIONAL INSTITUTION","BAKER CORRECTIONAL INSTITUTION","Florida","state"
"265","BAY CORRECTIONAL FACILITY","BAY CORRECTIONAL FACILITY","Florida","state"
"266","BLACKWATER CORRECTIONAL FACILITY GEO GROUP","BLACKWATER CORRECTIONAL FACILITY","Florida","state"
"267","CALHOUN CORRECTIONAL INSTITUTION","CALHOUN CORRECTIONAL INSTITUTION","Florida","state"
"268","CENTRAL OFFICE","CENTRAL OFFICE","Florida","state"
