"","name","state","jurisdiction","description","security","age","gender","diff_operator_dummy","diff_operator","population","capacity","hifld_id","bjs_id","current","source_population","source_capacity","latitude","longitude","county_fips","zipcode","city","county"
"11","DONALDSON CORRECTIONAL FACILITY","Alabama","state","Prison",NA,"A","M",NA,NA,1386,1760,10000132,"010000000072300000000","Current","HIFLD","HIFLD",33.51366663,-87.18478369,1073,35023,"BESSEMER","JEFFERSON"
"12","DRAPER QUARANTINE INTAKE FACILITY","Alabama","state","Reception Center",NA,"A","M",NA,NA,NA,1232,NA,"010000000070300000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"13","EASTERLING CORRECTIONAL FACILITY","Alabama","state","Prison",NA,NA,NA,NA,NA,1229,1267,10000144,"010000000073300000000","Current","HIFLD","HIFLD",31.68938149,-85.58555889,1005,36017,"CLIO","BARBOUR"
"14","ELBA COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,130,250,10001226,"010000000071700000000","Current","HIFLD","HIFLD",31.41312386,-86.08373748,1031,36323,"ELBA","COFFEE"
"15","ELMORE CORRECTIONAL FACILITY","Alabama","state","Prison",NA,"A","M",NA,NA,1161,1176,10001214,"010000000072600000000","Current","HIFLD","HIFLD",32.57430479,-86.32080582,1051,36025,"ELMORE","ELMORE"
"16","TALLADEGA FEDERAL CORRECTIONAL INSTITUTION","Alabama","federal","Prison","Med/Min","A","M",NA,NA,NA,NA,NA,"016061666070100000000","Current",NA,NA,NA,NA,1121,NA,NA,NA
"17","FOUNTAIN CORRECTIONAL FACILITY","Alabama","state","Prison",NA,"A","M",NA,NA,1136,1613,10001957,"010000000070600000000","Current","HIFLD","HIFLD",31.15658,-87.46372,1053,36503,"ATMORE","ESCAMBIA"
"18","FRANK LEE COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,285,300,10003728,"010000000705000000000","Current","HIFLD","HIFLD",32.58235451,-86.39221844,1051,36022,"DEATSVILLE","ELMORE"
"19","HAMILTON AGED AND INFIRMED","Alabama","state","Aged and Infirmed",NA,"A","M",NA,NA,243,300,10001197,"010000000073100000000","Current","HIFLD","HIFLD",34.12434611,-87.99171938,1093,35570,"HAMILTON","MARION"
"20","HAMILTON COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,220,264,10001199,"010000000071000000000","Current","HIFLD","HIFLD",34.14329559,-87.95895958,1093,35570,"HAMILTON","MARION"
"21","HOLMAN CORRECTIONAL FACILITY","Alabama","state","Prison","Max","A","M",NA,NA,700,1002,10000149,"010000000070200000000","Current","HIFLD","HIFLD",31.13438612,-87.4498642,1053,36503,"ATMORE","ESCAMBIA"
"22","KEETON CORRECTIONS INC BIRMINGHAM RRC","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,1073,NA,NA,NA
"23","KILBY CORRECTIONAL FACILITY","Alabama","state","Reception Center","Max/Min","A","M",NA,NA,1231,1421,10001221,"010000000070100000000","Current","HIFLD","HIFLD",32.38835654,-86.1009811,1101,36117,"MONTGOMERY","MONTGOMERY"
"24","LIMESTONE CORRECTIONAL FACILITY","Alabama","state","Prison","Med","A","M",NA,NA,2107,2086,10000129,"010000000072900000000","Current","HIFLD","HIFLD",34.81254392,-86.80413307,1083,35749,"HARVEST","LIMESTONE"
"25","LOXLEY COMMUNITY BASED FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,356,562,10000146,"010000000073800000000","Current","HIFLD","HIFLD",30.6153358,-87.77030984,1003,36551,"LOXLEY","BALDWIN"
"26","MOBILE COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,NA,NA,NA,NA,192,254,10000150,"010000000072200000000","Current","HIFLD","HIFLD",30.73788106,-88.10905742,1097,36610,"PRITCHARD","MOBILE"
"27","MONTGOMERY FEDERAL PRISON CAMP","Alabama","federal","Prison","Min","A","M",NA,NA,858,920,10000141,"016051666072300000000","Current","HIFLD","HIFLD",32.39424124,-86.35915818,1101,36112,"MONTGOMERY","MONTGOMERY"
"28","MONTGOMERY WOMENS FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,274,300,10001222,"010000000071300000000","Current","HIFLD","HIFLD",NA,NA,1101,36117,"MONTGOMERY","MONTGOMERY"
"29","NORTH ALABAMA COMMUNITY BASED FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,555,740,10003698,NA,"Current","HIFLD","HIFLD",34.61756728,-87.00562813,1103,35601,"DECATUR","MORGAN"
"30","RED EAGLE COMMUNITY BASED FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,333,340,10001218,"010000000070800000000","Current","HIFLD","HIFLD",32.46559439,-86.23690422,1101,36110,"MONTGOMERY","MONTGOMERY"
"31","REGIONAL TRAINING CENTERS","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"32","RRC BIRMINGHAM ALABAMA","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"33","RRC SPANISH FORT ALABAMA","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"34","ST CLAIR CORRECTIONAL FACILITY","Alabama","state","Prison","Max","A","M",NA,NA,964,1514,10003710,"010000000072700000000","Current","HIFLD","HIFLD",33.74558817,-86.38437373,1115,35146,"SPRINGVILLE","ST CLAIR"
"35","STATEWIDE","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"36","STATON CORRECTIONAL FACILITY","Alabama","state","Prison","Max/Med","A","M",NA,NA,1303,1376,10000140,"010000000070900000000","Current","HIFLD","HIFLD",32.5772157,-86.33248852,1051,36025,"ELMORE","ELMORE"
"37","TALLADEGA AL","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,1121,NA,NA,NA
"38","TALLADEGA FEDERAL CORRECTIONAL INSTITUTION","Alabama","federal","Prison","Med/Min","A","M",NA,NA,793,624,10000136,NA,"Current","HIFLD","HIFLD",33.42063528,-86.14008892,1121,35160,"TALLADEGA","TALLADEGA"
"39","TRAINING ACADEMY","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"40","TUTWILER PRISON FOR WOMEN","Alabama","state","Reception Center","Max/Med","A","M",NA,NA,565,975,10001216,"010000000070400000000","Current","HIFLD","HIFLD",32.5640382,-86.1940048,1051,36092,"WETUMPKA","ELMORE"
"41","TUTWILER PRISON FOR WOMEN","Alabama","state","Reception Center","Max/Med","A","M",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"42","ALABAMA HEADQUARTERS","Alabama","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"43","TUTWILER QUARANTINE INTAKE FACILITY","Alabama","state","Reception Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"44","VENTRESS CORRECTIONAL FACILITY","Alabama","state","Prison","Med","A","M",NA,NA,1245,1650,10000143,"010000000073500000000","Current","HIFLD","HIFLD",31.88902864,-85.49299808,1005,36016,"CLAYTON","BARBOUR"
"45","ANCHORAGE CCC","Alaska",NA,NA,NA,NA,NA,NA,NA,832,863,10003757,NA,"Previous","HIFLD","HIFLD",61.21842095,-149.8562424,2020,99501,"ANCHORAGE","ANCHORAGE"
"46","GOOSE CREEK CC","Alaska",NA,NA,NA,NA,NA,NA,NA,1125,1536,10006386,NA,"Previous","HIFLD","HIFLD",61.36030624,-150.0084479,2170,99623,"WASILLA","MATANUSKA-SUSITNA"
"47","LEMON CREEK CC JUNEAU","Alaska",NA,NA,NA,NA,NA,NA,NA,209,232,10001241,"020000000070500000000","Previous","HIFLD","HIFLD",58.36260637,-134.4840555,2110,99801,"JUNEAU","JUNEAU"
"48","STATEWIDE","Alaska","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"49","BEHAVIORAL SYSTEMS SOUTHWEST INC RRC PHOENIX","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"038007666074610000000","Previous",NA,NA,33.4588091,-112.0198483,4013,85008,"PHOENIX",NA
"50","CENTRAL ARIZONA CORRECTIONAL FACILITY","Arizona","state","Prison","Med","A","M","Different Operator","GeoGroup",1273,1280,10000618,"038000000076800000000","Current","HIFLD","HIFLD",33.03731012,-111.3727528,4021,85132,"FLORENCE","PINAL"
"51","CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX","Arizona",NA,NA,NA,NA,NA,NA,NA,1278,4128,10000619,NA,"Previous","HIFLD","HIFLD",33.04417322,-111.3754981,4021,85132,"FLORENCE","PINAL"
"52","CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX RRC","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"53","CENTRAL AZ DETENTION CENTER","Arizona","federal","Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"54","DISMAS CHARITIES RRC TUCSON","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"038010666076600000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"55","DOUGLAS STATE PRISON","Arizona","state","Prison",NA,NA,NA,NA,NA,2086,2398,10000632,"030000000071400000000","Current","HIFLD","HIFLD",31.46242829,-109.5912299,4003,85607,"DOUGLAS","COCHISE"
"56","EYMAN STATE PRISON","Arizona","state","Prison","Max/Med",NA,NA,NA,NA,5693,4544,NA,"030000000072300000000","Current","Public Records","Public Records",NA,NA,4021,NA,NA,NA
"57","EYMAN STATE PRISON","Arizona","state","Prison","Max/Med",NA,NA,NA,NA,5693,4544,10000615,NA,"Current","HIFLD","HIFLD",33.03691871,-111.3264441,4021,85132,"FLORENCE","PINAL"
"58","FLORENCE STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,3924,3946,10003976,"030000000070100000000","Current","HIFLD","HIFLD",33.02816949,-111.3707281,4021,85132,"FLORENCE","PINAL"
"59","FLORENCE STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,3924,3946,NA,NA,"Current","Public Records","Public Records",NA,NA,4021,NA,NA,NA
"60","FLORENCE WEST STATE PRISON","Arizona","state","Prison","Min","A","M","Different Operator","GeoGroup",742,750,10006312,"038000000074700000000","Current","HIFLD","HIFLD",33.037233,-111.376527,4021,85132,"FLORENCE","PINAL"
"61","KINGMAN STATE PRISON","Arizona","state","Prison","Med/Min","A","M","Different Operator","GeoGroup",3360,3400,10003957,NA,"Current","HIFLD","HIFLD",35.02891497,-114.1796097,4015,86414,"GOLDEN VALLEY","MOHAVE"
"62","LEWIS STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,4623,4397,10000605,"030000000075000000000","Current","HIFLD","HIFLD",33.2085241,-112.6514629,4013,85326,"BUCKEYE","MARICOPA"
"63","MARANA STATE PRISON","Arizona","state","Prison","Min","A","M","Different Operator",NA,487,450,10000626,NA,"Current","HIFLD","HIFLD",32.41791032,-111.2412161,4019,85653,"MARANA","PIMA"
"64","MARANA STATE PRISON","Arizona","state","Prison","Min","A","M","Different Operator",NA,NA,450,NA,"038000000072800000000","Current",NA,"Public Records",NA,NA,4019,NA,NA,NA
"65","MARICOPA COUNTY JAIL","Arizona","county","Jail",NA,"A","B",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"66","MARICOPA REEENTRY CENTER","Arizona","state","Transitional Center",NA,"A","M",NA,NA,62,NA,10002246,NA,"Current","HIFLD",NA,33.70669655,-112.1194385,4013,85027,"PHOENIX","MARICOPA"
"67","PERRYVILLE STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,4336,4382,10000606,"030000000071200000000","Current","HIFLD","HIFLD",33.47038654,-112.4377658,4013,85395,"GOODYEAR","MARICOPA"
"68","PHOENIX STATE PRISON","Arizona","state","Prison",NA,"A","M",NA,NA,544,720,10002245,"030000000071100000000","Current","HIFLD","HIFLD",33.45312989,-112.0250399,4013,85008,"PHOENIX","MARICOPA"
"69","PHOENIX FEDERAL CORRECTIONAL INSTITUTION","Arizona","federal","Prison","Med/Min","A","M",NA,NA,NA,NA,NA,"036007666070100000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"70","PHOENIX WEST STATE PRISON","Arizona","state","Prison","Min","A","M","Different Operator","GeoGroup",498,500,10002244,"038000000073400000000","Current","HIFLD","HIFLD",33.43277711,-112.1326085,4013,85009,"PHOENIX","MARICOPA"
"71","PIMA REENTRY CENTER","Arizona","state","Transitional Center",NA,"A","M",NA,NA,72,NA,10000630,NA,"Current","HIFLD",NA,32.2037634,-110.9909333,4019,85713,"TUCSON","PIMA"
"72","RED ROCK STATE PRISON","Arizona","state","Prison","Med","A","M","Different Operator","CoreCivic",1956,2000,10003974,NA,"Current","HIFLD","HIFLD",32.81056,-111.5196,4021,85131,"ELOY","PINAL"
"73","RRC PHOENIX AZ","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,4013,NA,NA,NA
"74","SAFFORD STATE PRISON","Arizona","state","Prison","Med","A","M",NA,NA,1579,1025,10002248,"030000000070500000000","Current","HIFLD","HIFLD",32.82810149,-109.5636396,4009,85546,"SAFFORD","GRAHAM"
"75","SAFFORD FEDERAL CORRECTIONAL INSTITUTION","Arizona","federal","Prison","Min","A","M",NA,NA,NA,NA,NA,"036005666072400000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"76","STATEWIDE","Arizona","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"77","TUCSON STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,5132,5098,10000628,"030000000071000000000","Current","HIFLD","HIFLD",32.06640097,-110.8663122,4019,85734,"TUCSON","PIMA"
"78","TUCSON AZ","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,4019,NA,NA,NA
"79","TUCSON FEDERAL CORRECTIONAL INSTITUTION","Arizona","federal","Prison","Max/Min","A","M",NA,NA,630,413,10000624,"036010666070100000000","Current","HIFLD","HIFLD",32.08957049,-110.8562398,4019,85706,"TUCSON","PIMA"
"80","TUCSON UNITED STATES PENITENTIARY","Arizona","federal","Prison","Max/Min","A","M",NA,NA,1385,972,10000627,"036010666070200000000","Current","HIFLD","HIFLD",32.08384226,-110.867108,4019,85756,"TUCSON","PIMA"
"81","WINSLOW STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,1295,1292,10000595,"030000000071900000000","Current","HIFLD","HIFLD",34.98471625,-110.7210891,4017,86047,"WINSLOW","NAVAJO"
"82","YUMA STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,4876,2245,10000622,"030000000072100000000","Current","HIFLD","HIFLD",32.48750181,-114.6397153,4027,85349,"SAN LUIS","YUMA"
"83","CITY FAITH LITTLE ROCK AR","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"048060666073200000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"84","CUMMINS UNIT PRISON","Arkansas",NA,NA,NA,NA,NA,NA,NA,1899,1876,10000085,"040000000070200000000","Previous","HIFLD","HIFLD",34.05152225,-91.58407175,5079,71644,"GRADY","LINCOLN"
"85","FCI FORREST CITY LOW","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"046062666070100000000","Previous",NA,NA,NA,NA,5123,NA,NA,NA
"86","FCI FORREST CITY MEDIUM","Arkansas",NA,NA,NA,NA,NA,NA,NA,1054,1119,10003615,"046062666070200000000","Previous","HIFLD","HIFLD",NA,NA,5123,72335,"FORREST CITY","ST. FRANCIS"
"87","FORREST CITY AK","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,5123,NA,NA,NA
"88","FORREST CITY LOW FEDERAL CORRECTIONAL INSTITUTION","Arkansas","federal","Prison","Min","A","M",NA,NA,1821,1536,10003614,NA,"Current","HIFLD","HIFLD",34.98233926,-90.80306156,5123,72335,"FORREST CITY","ST FRANCIS"
"89","FORREST CITY MEDIUM FEDERAL CORRECTIONAL INSTITUTION","Arkansas","federal","Prison","Med","A","M",NA,NA,1821,1536,10003614,NA,"Current","HIFLD","HIFLD",34.98233926,-90.80306156,5123,72335,"FORREST CITY","ST FRANCIS"
"90","STATEWIDE","Arkansas","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"91","AVENAL STATE PRISON","California","state","Prison","Med/Min","A","M",NA,NA,4204,2920,10000826,"050000000075100000000","Current","HIFLD","HIFLD",35.97394934,-120.1231018,6031,93204,"AVENAL","KINGS"
"92","AVENAL STATE PRISON","California","state","Prison","Med/Min","A","M",NA,NA,4204,2920,10000826,"050000000075100000000","Current","HIFLD","HIFLD",35.97394934,-120.1231018,6031,93204,"AVENAL","KINGS"
"93","ATWATER UNITED STATES PENITENTIARY","California","federal","Prison","Max/Min","A","M",NA,NA,NA,NA,NA,"056024666071500000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"94","BEHAVIORAL SYSTEMS SOUTHWEST INC RRC LOS ANGELES","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,34.1018841,-118.3299933,6037,90028,"LOS ANGELES",NA
"95","BEHAVIORAL SYSTEMS SOUTHWEST RUBIDOUX","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"96","BEHAVIORAL SYSTEMS SOUTHWEST VAN NUYS","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"97","BRAWLEY RRC","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"98","CALIFORNIA CITY CORRECTIONAL FACILITY","California","state","Prison","Med","A","M","Different Operator","CoreCivic",2424,2304,10000852,NA,"Current","HIFLD","HIFLD",35.1532512,-117.8588801,6029,93505,"CALIFORNIA CITY","KERN"
"99","CALIFORNIA CITY CORRECTIONAL FACILITY","California","state","Prison","Min","A",NA,NA,NA,2424,2560,10000852,NA,"Current","HIFLD","HIFLD",35.1532512,-117.8588801,6029,93505,"CALIFORNIA CITY","KERN"
"100","CALIPATRIA STATE PRISON","California","state","Prison","Max/Min","A","M",NA,NA,3109,2308,10002347,"050000000079990600000","Current","HIFLD","HIFLD",33.16569337,-115.484344,6025,92233,"CALIPATRIA","IMPERIAL"
"101","CALIFORNIA CORRECTIONAL CENTER","California","state","Work Camp","Min",NA,NA,NA,NA,4049,3883,10000773,"050000000070100000000","Current","HIFLD","HIFLD",40.40195801,-120.5167302,6035,96127,"SUSANVILLE","LASSEN"
"102","CALIFORNIA CORRECTIONAL CENTER","California","state","Prison","Med/Min","A","M",NA,NA,4049,3883,10000773,"050000000070100000000","Current","HIFLD","HIFLD",40.40195801,-120.5167302,6035,96127,"SUSANVILLE","LASSEN"
"103","CALIFORNIA CORRECTIONAL INSTITUTION","California","state","Prison","Max","A","M",NA,NA,3696,2783,10001530,"050000000071200000000","Current","HIFLD","HIFLD",35.10991489,-118.5703307,6029,93561,"TEHACHAPI","KERN"
"104","CALIFORNIA CORRECTIONAL INSTITUTION","California","state","Prison","Max/Min","A","M",NA,NA,3696,2783,10001530,"050000000071200000000","Current","HIFLD","HIFLD",35.10991489,-118.5703307,6029,93561,"TEHACHAPI","KERN"
"105","CENTRAL CALIFORNIA WOMENS FACILITY","California","state","Prison","Max/Min","A","M",NA,NA,2814,2004,10000801,"050000000075700000000","Current","HIFLD","HIFLD",37.09368073,-120.1527098,6039,93610,"CHOWCHILLA","MADERA"
"106","CDCR CCHCS WORKSITE LOCATION FRESNO COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"107","CDCR CCHCS WORKSITE LOCATION IMPERIAL COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"108","CDCR CCHCS WORKSITE LOCATION KERN COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"109","LOS ANGELES COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,6037,NA,NA,NA
"110","CDCR CCHCS WORKSITE LOCATION MENDOCINO COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"111","MONTEREY COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"112","CDCR CCHCS WORKSITE LOCATION ORANGE COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"113","CDCR CCHCS WORKSITE LOCATION SAN LUIS OBISPO COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"114","SANTA BARBARA COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"115","CDCR CCHCS WORKSITE LOCATION SANTA CLARA COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"116","SOLANO COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"117","STANISLAUS COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"118","TULARE COUNTYWORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"119","VENTURA COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"120","RIVERSIDE COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,6065,NA,NA,NA
"121","SACRAMENTO COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,6067,NA,NA,NA
"122","SAN BERNARDINO COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,6071,NA,NA,NA
"123","SAN DIEGO COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"124","SAN JOAQUIN COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"125","CDCR CCHCS WORKSITE SOUTHERN REGION","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"126","CENTINELA STATE PRISON","California","state","Prison","Max/Min","A","M",NA,NA,3475,2308,10002348,"050000000079990700000","Current","HIFLD","HIFLD",32.82339731,-115.7890555,6025,92251,"IMPERIAL","IMPERIAL"
"127","NA CHADERJIAN YOUTH CORRECTIONAL FACILITY","California","state","Prison",NA,"J","M",NA,NA,216,210,10000796,NA,"Current","HIFLD","HIFLD",37.8911829,-121.1978212,6077,95215,"STOCKTON","SAN JOAQUIN"
"128","CALIFORNIA HEALTH CARE FACILITY","California","state","Prison","Max/Min","A","M",NA,NA,2849,2951,10000799,NA,"Current","HIFLD","HIFLD",37.8947278,-121.1848441,6077,95215,"STOCKTON","SAN JOAQUIN"
"129","CALIFORNIA INSTITUTION FOR MEN","California","state","Prison","Max/Min","A","M",NA,NA,3627,2973,10000836,"050000000070500000000","Current","HIFLD","HIFLD",33.98471223,-117.6823919,6071,91710,"CHINO","SAN BERNARDINO"
"130","CALIFORNIA INSTITUTION FOR WOMEN","California","state","Prison","Med/Min","A","M",NA,NA,1619,1398,10002341,"050000000070600000000","Current","HIFLD","HIFLD",33.94974531,-117.636365,6071,92880,"CORONA","SAN BERNARDINO"
