"name","state","jurisdiction","description","security","age","gender","diff_operator_dummy","diff_operator","population","capacity","hifld_id","bjs_id","current","source_population","source_capacity","latitude","longitude","county_fips","zipcode","city","county"
"DOUGLAS STATE PRISON","Arizona","state","Prison",NA,NA,NA,NA,NA,2086,2398,10000632,"030000000071400000000","Current","HIFLD","HIFLD",31.46242829,-109.5912299,4003,85607,"DOUGLAS","COCHISE"
"EYMAN STATE PRISON","Arizona","state","Prison","Max/Med",NA,NA,NA,NA,5693,4544,NA,"030000000072300000000","Current","Public Records","Public Records",NA,NA,4021,NA,NA,NA
"EYMAN STATE PRISON","Arizona","state","Prison","Max/Med",NA,NA,NA,NA,5693,4544,10000615,NA,"Current","HIFLD","HIFLD",33.03691871,-111.3264441,4021,85132,"FLORENCE","PINAL"
"FLORENCE STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,3924,3946,10003976,"030000000070100000000","Current","HIFLD","HIFLD",33.02816949,-111.3707281,4021,85132,"FLORENCE","PINAL"
"FLORENCE STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,3924,3946,NA,NA,"Current","Public Records","Public Records",NA,NA,4021,NA,NA,NA
"FLORENCE WEST STATE PRISON","Arizona","state","Prison","Min","A","M","Different Operator","GeoGroup",742,750,10006312,"038000000074700000000","Current","HIFLD","HIFLD",33.037233,-111.376527,4021,85132,"FLORENCE","PINAL"
"KINGMAN STATE PRISON","Arizona","state","Prison","Med/Min","A","M","Different Operator","GeoGroup",3360,3400,10003957,NA,"Current","HIFLD","HIFLD",35.02891497,-114.1796097,4015,86414,"GOLDEN VALLEY","MOHAVE"
"LEWIS STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,4623,4397,10000605,"030000000075000000000","Current","HIFLD","HIFLD",33.2085241,-112.6514629,4013,85326,"BUCKEYE","MARICOPA"
"MARANA STATE PRISON","Arizona","state","Prison","Min","A","M","Different Operator",NA,487,450,10000626,NA,"Current","HIFLD","HIFLD",32.41791032,-111.2412161,4019,85653,"MARANA","PIMA"
"MARANA STATE PRISON","Arizona","state","Prison","Min","A","M","Different Operator",NA,NA,450,NA,"038000000072800000000","Current",NA,"Public Records",NA,NA,4019,NA,NA,NA
"MARICOPA COUNTY JAIL","Arizona","county","Jail",NA,"A","B",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"MARICOPA REEENTRY CENTER","Arizona","state","Transitional Center",NA,"A","M",NA,NA,62,NA,10002246,NA,"Current","HIFLD",NA,33.70669655,-112.1194385,4013,85027,"PHOENIX","MARICOPA"
"PERRYVILLE STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,4336,4382,10000606,"030000000071200000000","Current","HIFLD","HIFLD",33.47038654,-112.4377658,4013,85395,"GOODYEAR","MARICOPA"
"PHOENIX STATE PRISON","Arizona","state","Prison",NA,"A","M",NA,NA,544,720,10002245,"030000000071100000000","Current","HIFLD","HIFLD",33.45312989,-112.0250399,4013,85008,"PHOENIX","MARICOPA"
"PHOENIX FEDERAL CORRECTIONAL INSTITUTION","Arizona","federal","Prison","Med/Min","A","M",NA,NA,NA,NA,NA,"036007666070100000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"PHOENIX WEST STATE PRISON","Arizona","state","Prison","Min","A","M","Different Operator","GeoGroup",498,500,10002244,"038000000073400000000","Current","HIFLD","HIFLD",33.43277711,-112.1326085,4013,85009,"PHOENIX","MARICOPA"
"PIMA REENTRY CENTER","Arizona","state","Transitional Center",NA,"A","M",NA,NA,72,NA,10000630,NA,"Current","HIFLD",NA,32.2037634,-110.9909333,4019,85713,"TUCSON","PIMA"
"RED ROCK STATE PRISON","Arizona","state","Prison","Med","A","M","Different Operator","CoreCivic",1956,2000,10003974,NA,"Current","HIFLD","HIFLD",32.81056,-111.5196,4021,85131,"ELOY","PINAL"
"RRC PHOENIX AZ","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,4013,NA,NA,NA
"SAFFORD STATE PRISON","Arizona","state","Prison","Med","A","M",NA,NA,1579,1025,10002248,"030000000070500000000","Current","HIFLD","HIFLD",32.82810149,-109.5636396,4009,85546,"SAFFORD","GRAHAM"
"SAFFORD FEDERAL CORRECTIONAL INSTITUTION","Arizona","federal","Prison","Min","A","M",NA,NA,NA,NA,NA,"036005666072400000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"STATEWIDE","Arizona","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"TUCSON STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,5132,5098,10000628,"030000000071000000000","Current","HIFLD","HIFLD",32.06640097,-110.8663122,4019,85734,"TUCSON","PIMA"
"TUCSON AZ","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,4019,NA,NA,NA
"TUCSON FEDERAL CORRECTIONAL INSTITUTION","Arizona","federal","Prison","Max/Min","A","M",NA,NA,630,413,10000624,"036010666070100000000","Current","HIFLD","HIFLD",32.08957049,-110.8562398,4019,85706,"TUCSON","PIMA"
"TUCSON UNITED STATES PENITENTIARY","Arizona","federal","Prison","Max/Min","A","M",NA,NA,1385,972,10000627,"036010666070200000000","Current","HIFLD","HIFLD",32.08384226,-110.867108,4019,85756,"TUCSON","PIMA"
"WINSLOW STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,1295,1292,10000595,"030000000071900000000","Current","HIFLD","HIFLD",34.98471625,-110.7210891,4017,86047,"WINSLOW","NAVAJO"
"YUMA STATE PRISON","Arizona","state","Prison","Max/Min","A","M",NA,NA,4876,2245,10000622,"030000000072100000000","Current","HIFLD","HIFLD",32.48750181,-114.6397153,4027,85349,"SAN LUIS","YUMA"
"CITY FAITH LITTLE ROCK AR","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"048060666073200000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"CUMMINS UNIT PRISON","Arkansas",NA,NA,NA,NA,NA,NA,NA,1899,1876,10000085,"040000000070200000000","Previous","HIFLD","HIFLD",34.05152225,-91.58407175,5079,71644,"GRADY","LINCOLN"
"FCI FORREST CITY LOW","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"046062666070100000000","Previous",NA,NA,NA,NA,5123,NA,NA,NA
"FCI FORREST CITY MEDIUM","Arkansas",NA,NA,NA,NA,NA,NA,NA,1054,1119,10003615,"046062666070200000000","Previous","HIFLD","HIFLD",NA,NA,5123,72335,"FORREST CITY","ST. FRANCIS"
"FORREST CITY AK","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,5123,NA,NA,NA
"FORREST CITY LOW FEDERAL CORRECTIONAL INSTITUTION","Arkansas","federal","Prison","Min","A","M",NA,NA,1821,1536,10003614,NA,"Current","HIFLD","HIFLD",34.98233926,-90.80306156,5123,72335,"FORREST CITY","ST FRANCIS"
"FORREST CITY MEDIUM FEDERAL CORRECTIONAL INSTITUTION","Arkansas","federal","Prison","Med","A","M",NA,NA,1821,1536,10003614,NA,"Current","HIFLD","HIFLD",34.98233926,-90.80306156,5123,72335,"FORREST CITY","ST FRANCIS"
"STATEWIDE","Arkansas","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"AVENAL STATE PRISON","California","state","Prison","Med/Min","A","M",NA,NA,4204,2920,10000826,"050000000075100000000","Current","HIFLD","HIFLD",35.97394934,-120.1231018,6031,93204,"AVENAL","KINGS"
"AVENAL STATE PRISON","California","state","Prison","Med/Min","A","M",NA,NA,4204,2920,10000826,"050000000075100000000","Current","HIFLD","HIFLD",35.97394934,-120.1231018,6031,93204,"AVENAL","KINGS"
"ATWATER UNITED STATES PENITENTIARY","California","federal","Prison","Max/Min","A","M",NA,NA,NA,NA,NA,"056024666071500000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"BEHAVIORAL SYSTEMS SOUTHWEST INC RRC LOS ANGELES","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,34.1018841,-118.3299933,6037,90028,"LOS ANGELES",NA
"BEHAVIORAL SYSTEMS SOUTHWEST RUBIDOUX","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"BEHAVIORAL SYSTEMS SOUTHWEST VAN NUYS","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"BRAWLEY RRC","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"CALIFORNIA CITY CORRECTIONAL FACILITY","California","state","Prison","Med","A","M","Different Operator","CoreCivic",2424,2304,10000852,NA,"Current","HIFLD","HIFLD",35.1532512,-117.8588801,6029,93505,"CALIFORNIA CITY","KERN"
"CALIFORNIA CITY CORRECTIONAL FACILITY","California","state","Prison","Min","A",NA,NA,NA,2424,2560,10000852,NA,"Current","HIFLD","HIFLD",35.1532512,-117.8588801,6029,93505,"CALIFORNIA CITY","KERN"
"CALIPATRIA STATE PRISON","California","state","Prison","Max/Min","A","M",NA,NA,3109,2308,10002347,"050000000079990600000","Current","HIFLD","HIFLD",33.16569337,-115.484344,6025,92233,"CALIPATRIA","IMPERIAL"
"CALIFORNIA CORRECTIONAL CENTER","California","state","Work Camp","Min",NA,NA,NA,NA,4049,3883,10000773,"050000000070100000000","Current","HIFLD","HIFLD",40.40195801,-120.5167302,6035,96127,"SUSANVILLE","LASSEN"
"CALIFORNIA CORRECTIONAL CENTER","California","state","Prison","Med/Min","A","M",NA,NA,4049,3883,10000773,"050000000070100000000","Current","HIFLD","HIFLD",40.40195801,-120.5167302,6035,96127,"SUSANVILLE","LASSEN"
"CALIFORNIA CORRECTIONAL INSTITUTION","California","state","Prison","Max","A","M",NA,NA,3696,2783,10001530,"050000000071200000000","Current","HIFLD","HIFLD",35.10991489,-118.5703307,6029,93561,"TEHACHAPI","KERN"
"CALIFORNIA CORRECTIONAL INSTITUTION","California","state","Prison","Max/Min","A","M",NA,NA,3696,2783,10001530,"050000000071200000000","Current","HIFLD","HIFLD",35.10991489,-118.5703307,6029,93561,"TEHACHAPI","KERN"
"CENTRAL CALIFORNIA WOMENS FACILITY","California","state","Prison","Max/Min","A","M",NA,NA,2814,2004,10000801,"050000000075700000000","Current","HIFLD","HIFLD",37.09368073,-120.1527098,6039,93610,"CHOWCHILLA","MADERA"
"CDCR CCHCS WORKSITE LOCATION FRESNO COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"CDCR CCHCS WORKSITE LOCATION IMPERIAL COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"CDCR CCHCS WORKSITE LOCATION KERN COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"LOS ANGELES COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,6037,NA,NA,NA
"CDCR CCHCS WORKSITE LOCATION MENDOCINO COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"MONTEREY COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"CDCR CCHCS WORKSITE LOCATION ORANGE COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"CDCR CCHCS WORKSITE LOCATION SAN LUIS OBISPO COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"SANTA BARBARA COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"CDCR CCHCS WORKSITE LOCATION SANTA CLARA COUNTY","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"SOLANO COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"STANISLAUS COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"TULARE COUNTYWORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"VENTURA COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"RIVERSIDE COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,6065,NA,NA,NA
"SACRAMENTO COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,6067,NA,NA,NA
"SAN BERNARDINO COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,6071,NA,NA,NA
"SAN DIEGO COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"SAN JOAQUIN COUNTY WORKSITE LOCATION","California","state","Work Camp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"CDCR CCHCS WORKSITE SOUTHERN REGION","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"CENTINELA STATE PRISON","California","state","Prison","Max/Min","A","M",NA,NA,3475,2308,10002348,"050000000079990700000","Current","HIFLD","HIFLD",32.82339731,-115.7890555,6025,92251,"IMPERIAL","IMPERIAL"
"NA CHADERJIAN YOUTH CORRECTIONAL FACILITY","California","state","Prison",NA,"J","M",NA,NA,216,210,10000796,NA,"Current","HIFLD","HIFLD",37.8911829,-121.1978212,6077,95215,"STOCKTON","SAN JOAQUIN"
"CALIFORNIA HEALTH CARE FACILITY","California","state","Prison","Max/Min","A","M",NA,NA,2849,2951,10000799,NA,"Current","HIFLD","HIFLD",37.8947278,-121.1848441,6077,95215,"STOCKTON","SAN JOAQUIN"
"CALIFORNIA INSTITUTION FOR MEN","California","state","Prison","Max/Min","A","M",NA,NA,3627,2973,10000836,"050000000070500000000","Current","HIFLD","HIFLD",33.98471223,-117.6823919,6071,91710,"CHINO","SAN BERNARDINO"
"CALIFORNIA INSTITUTION FOR WOMEN","California","state","Prison","Med/Min","A","M",NA,NA,1619,1398,10002341,"050000000070600000000","Current","HIFLD","HIFLD",33.94974531,-117.636365,6071,92880,"CORONA","SAN BERNARDINO"
"CALIFORNIA MENS COLONY","California","state","Prison","Med/Min","A","M",NA,NA,3758,3838,10002345,"050000000071000000000","Current","HIFLD","HIFLD",35.32457413,-120.6989005,6079,93409,"SAN LUIS OBISPO","SAN LUIS OBISPO"
"CALIFORNIA MEDICAL FACILITY","California","state","Medical Facility",NA,"A","B",NA,NA,2512,2361,10000785,"050000000071100000000","Current","HIFLD","HIFLD",38.32851019,-121.9791645,6095,95696,"VACAVILLE","SOLANO"
