Count.ID,State,Name,Jurisdiction,hifld_id,Address,City,Zipcode,Latitude,Longitude,County,County.FIPS,TYPE,POPULATION,SECURELVL,CAPACITY,federal_prison_type,Website
10,Alabama,EASTERLING,Prison,10000144,200 WALLACE DR,CLIO,36017,31.68938149,-85.58555889,BARBOUR,1005,STATE,1229,MEDIUM,1267,private,http://www.doc.alabama.gov/covid19news
11,Alabama,ELBA,Prison,10001226,1620 BOSWELL ST,ELBA,36323,31.41312386,-86.08373748,COFFEE,1031,STATE,130,MINIMUM,250,private,http://www.doc.alabama.gov/covid19news
12,Alabama,ELMORE,Prison,10001214,3520 MARION SPILLWAY ROAD,ELMORE,36025,32.57430479,-86.32080582,ELMORE,1051,STATE,1161,MEDIUM,1176,private,http://www.doc.alabama.gov/covid19news
240,Alabama,FCI TALLADEGA,Federal Prison,NA,NA,NA,NA,NA,NA,NA,1121,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
13,Alabama,FOUNTAIN,Prison,10001957,9677 AL HWY 21 N,ATMORE,36503,31.15658,-87.46372,ESCAMBIA,1053,STATE,1136,MEDIUM,1613,NA,http://www.doc.alabama.gov/covid19news
14,Alabama,FRANK LEE,Prison,10003728,5305 INGRAM RD,DEATSVILLE,36022,32.58235451,-86.39221844,ELMORE,1051,STATE,285,MINIMUM,300,private,http://www.doc.alabama.gov/covid19news
15,Alabama,HAMILTON A I,Prison,10001197,223 SASSER DR,HAMILTON,35570,34.12434611,-87.99171938,MARION,1093,STATE,243,MEDIUM,300,private,http://www.doc.alabama.gov/covid19news
16,Alabama,HAMILTON CBF,Prison,10001199,1826 BEXAR AVE E,HAMILTON,35570,34.14329559,-87.95895958,MARION,1093,STATE,220,MINIMUM,264,private,http://www.doc.alabama.gov/covid19news
17,Alabama,HOLMAN,Prison,10000149,866 ROSS RD,ATMORE,36503,31.13438612,-87.4498642,ESCAMBIA,1053,STATE,700,CLOSE,1002,private,http://www.doc.alabama.gov/covid19news
270,Alabama,KEETON CORRECTIONS INC BIRMINGHAM RRC,Federal Prison,NA,NA,NA,NA,NA,NA,NA,1073,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
18,Alabama,KILBY,Prison,10001221,12201 WARES FERRY RD,MONTGOMERY,36117,32.38835654,-86.1009811,MONTGOMERY,1101,STATE,1231,CLOSE,1421,private,http://www.doc.alabama.gov/covid19news
19,Alabama,LIMESTONE,Prison,10000129,28779 NICK DAVIS RD,HARVEST,35749,34.81254392,-86.80413307,LIMESTONE,1083,STATE,2107,CLOSE,2086,private,http://www.doc.alabama.gov/covid19news
20,Alabama,LOXLEY,Prison,10000146,14880 COUNTY RD 64,LOXLEY,36551,30.6153358,-87.77030984,BALDWIN,1003,STATE,356,MINIMUM,562,private,http://www.doc.alabama.gov/covid19news
21,Alabama,MOBILE,Prison,10000150,2423 N BELTLINE HWY,PRITCHARD,36610,30.73788106,-88.10905742,MOBILE,1097,STATE,192,MINIMUM,254,private,http://www.doc.alabama.gov/covid19news
293,Alabama,MONTGOMERY FPC,Federal Prison,10000141,MAXWELL AIR FORCE BASE,MONTGOMERY,36112,32.39424124,-86.35915818,MONTGOMERY,1101,FEDERAL,858,MINIMUM,920,BOP,https://www.bop.gov/coronavirus/
22,Alabama,MONTGOMERY WF,Prison,10001222,12085 WARES FERRY RD,MONTGOMERY,36117,NA,NA,MONTGOMERY,1101,STATE,274,MEDIUM,300,NA,http://www.doc.alabama.gov/covid19news
23,Alabama,NORTH ALABAMA,Prison,10003698,1401 STATE HIGHWAY 20 WEST,DECATUR,35601,34.61756728,-87.00562813,MORGAN,1103,STATE,555,MINIMUM,740,private,http://www.doc.alabama.gov/covid19news
24,Alabama,RED EAGLE,Prison,10001218,1290 RED EAGLE RD,MONTGOMERY,36110,32.46559439,-86.23690422,MONTGOMERY,1101,STATE,333,MINIMUM,340,private,http://www.doc.alabama.gov/covid19news
1387,Alabama,REGIONAL TRAINING CENTERS,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
1650,Alabama,RRC BIRMINGHAM ALABAMA,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
1439,Alabama,RRC SPANISH FORT ALABAMA,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
25,Alabama,ST CLAIR,Prison,10003710,1000 SAINT CLAIR ROAD,SPRINGVILLE,35146,33.74558817,-86.38437373,ST CLAIR,1115,STATE,964,CLOSE,1514,private,http://www.doc.alabama.gov/covid19news
26,Alabama,STATEWIDE,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
27,Alabama,STATON,Prison,10000140,2690 MARION SPILLWAY RD,ELMORE,36025,32.577215700000004,-86.33248852,ELMORE,1051,STATE,1303,MEDIUM,1376,private,http://www.doc.alabama.gov/covid19news
329,Alabama,TALLADEGA AL,Federal Prison,NA,NA,NA,NA,NA,NA,NA,1121,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
330,Alabama,TALLADEGA FCI,Federal Prison,10000136,565 EAST RENFROE ROAD,TALLADEGA,35160,33.42063528,-86.14008892,TALLADEGA,1121,FEDERAL,793,MEDIUM,624,BOP,https://www.bop.gov/coronavirus/
1704,Alabama,TRAINING ACADEMY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
28,Alabama,TUTWILER,Prison,10001216,8966 US HWY 231 N,WETUMPKA,36092,32.5640382,-86.1940048,ELMORE,1051,STATE,565,CLOSE,975,NA,http://www.doc.alabama.gov/covid19news
1864,Alabama,TUTWILER PRISON FOR WOMEN,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,Alabama,ADOC HEADQUARTERS,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377,Alabama,TUTWILER QIF,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
29,Alabama,VENTRESS,Prison,10000143,379 ALABAMA HWY 239 N,CLAYTON,36016,31.88902864,-85.49299808,BARBOUR,1005,STATE,1245,MEDIUM,1650,private,http://www.doc.alabama.gov/covid19news
30,Alaska,ANCHORAGE CCC,Prison,10003757,1400 EAST 4TH AVENUE,ANCHORAGE,99501,61.21842095,-149.8562424,ANCHORAGE,2020,STATE,832,MAXIMUM,863,private,https://doc.alaska.gov/covid-19
31,Alaska,GOOSE CREEK CC,Prison,10006386,22301 WEST ALSOP ROAD,WASILLA,99623,61.36030624,-150.0084479,MATANUSKA-SUSITNA,2170,STATE,1125,MEDIUM,1536,private,https://doc.alaska.gov/covid-19
32,Alaska,LEMON CREEK CC JUNEAU,Prison,10001241,2000 LEMON CREEK RD,JUNEAU,99801,58.36260637,-134.4840555,JUNEAU,2110,STATE,209,MAXIMUM,232,private,https://doc.alaska.gov/covid-19
33,Alaska,STATEWIDE,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doc.alaska.gov/covid-19
169,Arizona,BEHAVIORAL SYSTEMS SOUTHWEST INC RRC PHOENIX,Federal Prison,NA,2846 E ROOSEVELT ST,PHOENIX,85008,33.4588091,-112.0198483,NA,4013,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
34,Arizona,CACF,Prison,10000618,1401 E DIVERSION DAM RD,FLORENCE,85132,33.03731012,-111.3727528,PINAL,4021,STATE,1273,MEDIUM,1280,private,https://corrections.az.gov/adcrr-covid-19-dashboard
1750,Arizona,CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX,Federal Prison,10000619,1155 N PINAL PKWY,FLORENCE,85132,33.04417322,-111.3754981,PINAL,4021,MULTI,1278,MAXIMUM,4128,private,https://www.bop.gov/coronavirus/
180,Arizona,CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX RRC,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
1621,Arizona,CENTRAL AZ DETENTION CENTER,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
1625,Arizona,DISMAS CHARITIES RRC TUCSON,Federal RRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
35,Arizona,DOUGLAS,Prison,10000632,6911 N BDI BLVD,DOUGLAS,85607,31.46242829,-109.5912299,COCHISE,4003,STATE,1806,MEDIUM,2398,private,https://corrections.az.gov/adcrr-covid-19-dashboard
36,Arizona,EYEMAN,Prison,NA,NA,NA,NA,NA,NA,NA,4021,NA,NA,NA,NA,NA,https://corrections.az.gov/adcrr-covid-19-dashboard
37,Arizona,EYMAN,Prison,10000615,4374 E BUTTE AVE,FLORENCE,85132,33.03691871,-111.3264441,PINAL,4021,STATE,5293,MAXIMUM,5503,private,https://corrections.az.gov/adcrr-covid-19-dashboard
38,Arizona,FLORENCE,Prison,10003976,1305 E BUTTE AVE,FLORENCE,85132,33.02816949,-111.3707281,PINAL,4021,STATE,3666,MAXIMUM,3835,private,https://corrections.az.gov/adcrr-covid-19-dashboard
39,Arizona,FLORENCE AZ STATE PRISON COMPLEX,Prison,NA,NA,NA,NA,NA,NA,NA,4021,NA,NA,NA,NA,NA,https://corrections.az.gov/adcrr-covid-19-dashboard
40,Arizona,FLORENCE WEST,Prison,10006312,915 EAST DIVERSION DAM ROAD,FLORENCE,85132,33.037233,-111.376527,PINAL,4021,STATE,742,MINIMUM,750,NA,https://corrections.az.gov/adcrr-covid-19-dashboard
41,Arizona,KINGMAN,Prison,10003957,4626 WEST ENGLISH DRIVE,GOLDEN VALLEY,86414,35.02891497,-114.1796097,MOHAVE,4015,STATE,3360,MEDIUM,3400,private,https://corrections.az.gov/adcrr-covid-19-dashboard
42,Arizona,LEWIS,Prison,10000605,26700 S HWY 85,BUCKEYE,85326,33.2085241,-112.6514629,MARICOPA,4013,STATE,5480,MAXIMUM,5972,private,https://corrections.az.gov/adcrr-covid-19-dashboard
43,Arizona,MARANA,Prison,10000626,12610 W SILVERBELL RD,MARANA,85653,32.41791032,-111.2412161,PIMA,4019,STATE,487,MINIMUM,513,private,https://corrections.az.gov/adcrr-covid-19-dashboard
44,Arizona,MARANA COMMUNITY CORRECTIONAL TREATMENT FACILITY,Community Corrections,NA,NA,NA,NA,NA,NA,NA,4019,NA,NA,NA,NA,NA,https://corrections.az.gov/adcrr-covid-19-dashboard
1733,Arizona,MARICOPA COUNTY JAIL,Jail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://corrections.az.gov/adcrr-covid-19-dashboard
45,Arizona,MRC,Prison,10002246,24601 N 29TH AVE,PHOENIX,85027,33.70669655,-112.1194385,MARICOPA,4013,STATE,62,NA,NA,private,https://corrections.az.gov/adcrr-covid-19-dashboard
46,Arizona,PERRYVILLE,Prison,10000606,2105 N CITRUS RD,GOODYEAR,85395,33.47038654,-112.4377658,MARICOPA,4013,STATE,4038,CLOSE,4250,private,https://corrections.az.gov/adcrr-covid-19-dashboard
47,Arizona,PHOENIX,Prison,10002245,2500 E VAN BUREN ST,PHOENIX,85008,33.45312989,-112.0250399,MARICOPA,4013,STATE,612,MAXIMUM,720,private,https://corrections.az.gov/adcrr-covid-19-dashboard
1435,Arizona,PHOENIX FCI,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
48,Arizona,PHOENIX WEST,Prison,10002244,3402 W COCOPAH ST,PHOENIX,85009,33.43277711,-112.1326085,MARICOPA,4013,STATE,498,MINIMUM,500,private,https://corrections.az.gov/adcrr-covid-19-dashboard
49,Arizona,PRC,Prison,10000630,1275 W STARR PASS BLVD,TUCSON,85713,32.2037634,-110.9909333,PIMA,4019,STATE,72,NA,NA,private,https://corrections.az.gov/adcrr-covid-19-dashboard
50,Arizona,RED ROCK,Prison,10003974,1750 EAST ARICA ROAD,ELOY,85131,32.81056,-111.5196,PINAL,4021,STATE,1956,MEDIUM,2000,NA,https://corrections.az.gov/adcrr-covid-19-dashboard
319,Arizona,RRC PHOENIX AZ,Federal Prison,NA,NA,NA,NA,NA,NA,NA,4013,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
51,Arizona,SAFFORD,Prison,10002248,896 S COOK RD,SAFFORD,85546,32.82810149,-109.5636396,GRAHAM,4009,STATE,881,MEDIUM,1025,private,https://corrections.az.gov/adcrr-covid-19-dashboard
1440,Arizona,SAFFORD FCI,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
52,Arizona,STATEWIDE,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://corrections.az.gov/adcrr-covid-19-dashboard
53,Arizona,TUCSON,Prison,10000628,10000 S WILMOT RD,TUCSON,85734,32.06640097,-110.8663122,PIMA,4019,STATE,5077,CLOSE,5098,private,https://corrections.az.gov/adcrr-covid-19-dashboard
340,Arizona,TUCSON AZ,Federal Prison,NA,NA,NA,NA,NA,NA,NA,4019,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
341,Arizona,TUCSON FCI,Federal Prison,10000624,8901 S WILMOT RD,TUCSON,85706,32.08957049,-110.8562398,PIMA,4019,FEDERAL,630,MEDIUM,413,BOP,https://www.bop.gov/coronavirus/
342,Arizona,TUCSON USP,Federal Prison,10000627,9300 S WILMOT RD,TUCSON,85756,32.08384226,-110.867108,PIMA,4019,FEDERAL,1385,MAXIMUM,972,BOP,https://www.bop.gov/coronavirus/
54,Arizona,WINSLOW,Prison,10000595,2100 S HWY 87,WINSLOW,86047,34.98471625,-110.7210891,NAVAJO,4017,STATE,1216,CLOSE,1292,private,https://corrections.az.gov/adcrr-covid-19-dashboard
55,Arizona,YUMA,Prison,10000622,7125 E CESAR CHAVEZ BLVD,SAN LUIS,85349,32.48750181,-114.6397153,YUMA,4027,STATE,4785,CLOSE,4770,private,https://corrections.az.gov/adcrr-covid-19-dashboard
1408,Arkansas,CITY FAITH LITTLE ROCK AR,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
56,Arkansas,CUMMINS UNIT PRISON,Prison,10000085,STATE HWY 388,GRADY,71644,34.05152225,-91.58407175,LINCOLN,5079,STATE,1899,MAXIMUM,1876,private,https://adc.arkansas.gov/coronavirus-covid-19-updates
233,Arkansas,FCI FORREST CITY LOW,Federal Prison,NA,NA,NA,NA,NA,NA,NA,5123,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
234,Arkansas,FCI FORREST CITY MEDIUM,Federal Prison,NA,NA,NA,NA,NA,NA,NA,5123,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
247,Arkansas,FORREST CITY AK,Federal Prison,NA,NA,NA,NA,NA,NA,NA,5123,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
248,Arkansas,FORREST CITY LOW FCI,Federal Prison,10003614,1400 DALE BUMPERS ROAD,FORREST CITY,72335,34.98233926,-90.80306156,ST FRANCIS,5123,FEDERAL,1821,MINIMUM,1536,BOP,https://www.bop.gov/coronavirus/
249,Arkansas,FORREST CITY MEDIUM FCI,Federal Prison,10003614,1400 DALE BUMPERS ROAD,FORREST CITY,72335,34.98233926,-90.80306156,ST FRANCIS,5123,FEDERAL,1821,MINIMUM,1536,BOP,https://www.bop.gov/coronavirus/
57,Arkansas,STATEWIDE,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://adc.arkansas.gov/coronavirus-covid-19-updates
58,California,ASP AVENAL STATE PRISON,Prison,10000826,1 KINGS WAY,AVENAL,93204,35.97394934,-120.1231018,KINGS,6031,STATE,3887,MEDIUM,2920,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1398,California,ATWATER USP,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
168,California,BEHAVIORAL SYSTEMS SOUTHWEST INC RRC LOS ANGELES,Federal Prison,NA,5520 HAROLD WAY,LOS ANGELES,90028,34.1018841,-118.3299933,NA,6037,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
1749,California,BEHAVIORAL SYSTEMS SOUTHWEST RUBIDOUX,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
1823,California,BEHAVIORAL SYSTEMS SOUTHWEST VAN NUYS,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
171,California,BRAWLEY RRC,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
59,California,CAC CALIFORNIA CITY CORRECTIONAL FACILITY,Prison,10000852,22844 VIRGINIA BLVD,CALIFORNIA CITY,93505,35.1532512,-117.8588801,KERN,6029,STATE,2424,MEDIUM,2560,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
60,California,CAL CALIPATRIA STATE PRISON,Prison,10002347,7018 BLAIR ROAD,CALIPATRIA,92233,33.16569337,-115.484344,IMPERIAL,6025,STATE,3711,MAXIMUM,2308,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
61,California,CCC CALIFORNIA CORRECTIONAL CENTER,Prison,10000773,711-045 CENTER ROAD,SUSANVILLE,96127,40.40195801,-120.5167302,LASSEN,6035,STATE,4336,MEDIUM,3883,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
62,California,CCI CALIFORNIA CORRECTIONAL INSTITUTION,Prison,10001530,24900 HWY 202,TEHACHAPI,93561,35.10991489,-118.5703307,KERN,6029,STATE,3818,MAXIMUM,2783,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
63,California,CCWF CENTRAL CA WOMENS FACILITY,Prison,10000801,23370 ROAD 22,CHOWCHILLA,93610,37.09368073,-120.1527098,MADERA,6039,STATE,2992,MAXIMUM,2004,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1739,California,CDCR CCHCS WORKSITE LOCATION FRESNO COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1738,California,CDCR CCHCS WORKSITE LOCATION IMPERIAL COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1644,California,CDCR CCHCS WORKSITE LOCATION KERN COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
101,California,CDCR CCHCS WORKSITE LOCATION LOS ANGELES COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,6037,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1737,California,CDCR CCHCS WORKSITE LOCATION MENDOCINO COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1681,California,CDCR CCHCS WORKSITE LOCATION MONTEREY COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1736,California,CDCR CCHCS WORKSITE LOCATION ORANGE COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1735,California,CDCR CCHCS WORKSITE LOCATION SAN LUIS OBISPO COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1682,California,CDCR CCHCS WORKSITE LOCATION SANTA BARBARA COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1734,California,CDCR CCHCS WORKSITE LOCATION SANTA CLARA COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1683,California,CDCR CCHCS WORKSITE LOCATION SOLANO COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1684,California,CDCR CCHCS WORKSITE LOCATION STANISLAUS COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1685,California,CDCR CCHCS WORKSITE LOCATION TULARE COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1686,California,CDCR CCHCS WORKSITE LOCATION VENTURA COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
102,California,CDCR CCHCS WORKSITE RIVERSIDE COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,6065,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
103,California,CDCR CCHCS WORKSITE SACRAMENTO COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,6067,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
104,California,CDCR CCHCS WORKSITE SAN BERNARDINO COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,6071,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1390,California,CDCR CCHCS WORKSITE SAN DIEGO COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
1389,California,CDCR CCHCS WORKSITE SAN JOAQUIN COUNTY,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
105,California,CDCR CCHCS WORKSITE SOUTHERN REGION,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
64,California,CEN CALIFORNIA STATE PRISON CENTINELA,Prison,10002348,2302 BROWN ROAD,IMPERIAL,92251,32.82339731,-115.7890555,IMPERIAL,6025,STATE,3473,MAXIMUM,2308,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
82,California,CHADERJIAN YOUTH CORRECTIONAL FACILITY,Prison,10000796,7650 SOUTH NEWCASTLE ROAD,STOCKTON,95215,37.8911829,-121.1978212,SAN JOAQUIN,6077,STATE,216,JUVENILE,210,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
65,California,CHCF CALIFORNIA HEALTH CARE FACILITY,Prison,10000799,7707 AUSTIN ROAD,STOCKTON,95215,37.8947278,-121.1848441,SAN JOAQUIN,6077,STATE,2315,NA,2951,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
66,California,CIM CALIFORNIA INSTITUTION FOR MEN,Prison,10000836,14901 CENTRAL AVENUE,CHINO,91710,33.98471223,-117.6823919,SAN BERNARDINO,6071,STATE,3563,MAXIMUM,2976,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
67,California,CIW CALIFORNIA INSTITUTION FOR WOMEN,Prison,10002341,16756 CHINO-CORONA ROAD,CORONA,92880,33.94974531,-117.636365,SAN BERNARDINO,6071,STATE,1844,MAXIMUM,1398,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
68,California,CMC CALIFORNIA MENS COLONY,Prison,10002345,COLONY DRIVE,SAN LUIS OBISPO,93409,35.32457413,-120.6989005,SAN LUIS OBISPO,6079,STATE,4102,MEDIUM,3838,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
69,California,CMF CALIFORNIA MEDICAL FACILITY,Prison,10000785,1600 CALIFORNIA DRIVE,VACAVILLE,95696,38.32851019,-121.9791645,SOLANO,6095,STATE,2570,MEDIUM,2361,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
70,California,COR CALIFORNIA STATE PRISON CORCORAN,Prison,10000824,4001 KING AVENUE,CORCORAN,93212,36.06081823,-119.549121,KINGS,6031,STATE,3070,MAXIMUM,3116,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
193,California,CORRECTIONAL ALTERNATIVES INC RRC SAN DIEGO,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
71,California,CRC CALIFORNIA REHABILITATION CENTER,Prison,10000856,3195 WESTERN AVENUE,NORCO,92860,33.92691794,-117.5759442,RIVERSIDE,6065,STATE,65,MINIMUM,100,private,https://www.cdcr.ca.gov/covid19/population-status-tracking/
