Name.Raw,Name.Clean,State,Jurisdiction,Is.Federal
RED ROCK,RED ROCK STATE PRISON,Arizona,state,0
SAFFORD,SAFFORD STATE PRISON,Arizona,state,0
TUCSON,TUCSON STATE PRISON,Arizona,state,0
WINSLOW,WINSLOW STATE PRISON,Arizona,state,0
YUMA,YUMA STATE PRISON,Arizona,state,0
FORREST CITY LOW FEDERAL CORRECTIONAL INSTITUTION,FORREST CITY LOW FEDERAL CORRECTIONAL INSTITUTION,Arkansas,federal,1
FORREST CITY MEDIUM FEDERAL CORRECTIONAL INSTITUTION,FORREST CITY MEDIUM FEDERAL CORRECTIONAL INSTITUTION,Arkansas,federal,1
LOS ANGELES JAILS,LOS ANGELES JAILS,California,county,0
ORANGE COUNTY JAILS,ORANGE COUNTY JAILS,California,county,0
ATWATER UNITED STATES PENITENTIARY,ATWATER UNITED STATES PENITENTIARY,California,federal,1
BRAWLEY RESIDENTIAL REENTRY CENTER,BRAWLEY RESIDENTIAL REENTRY CENTER,California,federal,1
CORRECTIONAL ALTERNATIVES INC RESIDENTIAL REENTRY CENTER SAN DIEGO,CORRECTIONAL ALTERNATIVES INC RESIDENTIAL REENTRY CENTER SAN DIEGO,California,federal,1
DUBLIN FEDERAL CORRECTIONAL INSTITUTION,DUBLIN FEDERAL CORRECTIONAL INSTITUTION,California,federal,1
GEO CARE EL MONTE,GEO CARE EL MONTE,California,federal,1
GEO REENTRY OF ALASKA INC RESIDENTIAL REENTRY CENTER OAKLAND,GEO REENTRY OF ALASKA INC RESIDENTIAL REENTRY CENTER OAKLAND,California,federal,1
GEO TAYLOR ST FACILITY RESIDENTIAL REENTRY CENTER,GEO TAYLOR ST FACILITY RESIDENTIAL REENTRY CENTER,California,federal,1
HERLONG FEDERAL CORRECTIONAL INSTITUTION,HERLONG FEDERAL CORRECTIONAL INSTITUTION,California,federal,1
LOMPOC FEDERAL CORRECTIONAL INSTITUTION,LOMPOC FEDERAL CORRECTIONAL INSTITUTION,California,federal,1
LOMPOC UNITED STATES PENITENTIARY,LOMPOC UNITED STATES PENITENTIARY,California,federal,1
LOS ANGELES MDC,LOS ANGELES MTROPOLITAN DETENTION CENTER,California,federal,1
MENDOTA FEDERAL CORRECTIONAL INSTITUTION,MENDOTA FEDERAL CORRECTIONAL INSTITUTION,California,federal,1
SAN DIEGO MCC,SAN DIEGO METROPOLITAN CORRECTIONAL CENTER,California,federal,1
TERMINAL ISLAND FEDERAL CORRECTIONAL INSTITUTION,TERMINAL ISLAND FEDERAL CORRECTIONAL INSTITUTION,California,federal,1
VICTORVILLE MEDIUM I FEDERAL CORRECTIONAL INSTITUTION,VICTORVILLE MEDIUM I FEDERAL CORRECTIONAL INSTITUTION,California,federal,1
VICTORVILLE MEDIUM II FEDERAL CORRECTIONAL INSTITUTION,VICTORVILLE MEDIUM II FEDERAL CORRECTIONAL INSTITUTION,California,federal,1
VICTORVILLE UNITED STATES PENITENTIARY,VICTORVILLE UNITED STATES PENITENTIARY,California,federal,1
WESTERN RO,WESTERN REGIONAL OFFICE,California,federal,1
AVENAL STATE PRISON,AVENAL STATE PRISON,California,state,0
AVENAL STATE PRISON (ASP),AVENAL STATE PRISON,California,state,0
CA CORRECTIONAL CENTER,CALIFORNIA CORRECTIONAL CENTER,California,state,0
CA CORRECTIONAL INSTITUTION,CALIFORNIA CORRECTIONAL INSTITUTION,California,state,0
CA INSTITUTION FOR MEN,CALIFORNIA INSTITUTION FOR MEN,California,state,0
CA INSTITUTION FOR WOMEN,CALIFORNIA INSTITUTION FOR WOMEN,California,state,0
CA MEDICAL FACILITY,CALIFORNIA MEDICAL FACILITY,California,state,0
CA MENS COLONY,CALIFORNIA MENS COLONY,California,state,0
CA REHABILITATION CENTER,CALIFORNIA REHABILITATION CENTER,California,state,0
CA STATE PRISON CORCORAN,CALIFORNIA STATE PRISON CORCORAN,California,state,0
"CA STATE PRISON, LA COUNTY",CALIFORNIA STATE PRISON LOS ANGELES,California,state,0
"CA STATE PRISON, SACRAMENTO",CALIFORNIA STATE PRISON SACRAMENTO,California,state,0
"CA STATE PRISON, SAN QUENTIN",CALIFORNIA STATE PRISON SAN QUENTIN,California,state,0
"CA STATE PRISON, SOLANO",CALIFORNIA STATE PRISON SOLANO,California,state,0
CAC CALIFORNIA CITY CORRECTIONAL FACILITY,CALIFORNIA CITY CORRECTIONAL FACILITY,California,state,0
CALIFORNIA CORRECTIONAL CENTER (CCC),CALIFORNIA CORRECTIONAL CENTER,California,state,0
CALIFORNIA CORRECTIONAL INSTITUTION (CCI),CALIFORNIA CORRECTIONAL INSTITUTION,California,state,0
CALIFORNIA HEALTH CARE FACILITY,CALIFORNIA HEALTH CARE FACILITY,California,state,0
CALIFORNIA HEALTH CARE FACILITY (CHCF),CALIFORNIA HEALTH CARE FACILITY,California,state,0
CALIFORNIA INSTITUTION FOR MEN (CIM),CALIFORNIA INSTITUTION FOR MEN,California,state,0
CALIFORNIA INSTITUTION FOR WOMEN (CIW),CALIFORNIA INSTITUTION FOR WOMEN,California,state,0
CALIFORNIA MEDICAL FACILITY (CMF),CALIFORNIA MEDICAL FACILITY,California,state,0
CALIFORNIA MEN’S COLONY (CMC),CALIFORNIA MENS COLONY,California,state,0
CALIFORNIA REHABILITATION CENTER (CRC),CALIFORNIA REHABILITATION CENTER,California,state,0
"CALIFORNIA STATE PRISON, CORCORAN (COR)",CALIFORNIA STATE PRISON CORCORAN,California,state,0
"CALIFORNIA STATE PRISON, LOS ANGELES COUNTY (LAC)",CALIFORNIA STATE PRISON LOS ANGELES,California,state,0
"CALIFORNIA STATE PRISON, SACRAMENTO (SAC)",CALIFORNIA STATE PRISON SACRAMENTO,California,state,0
"CALIFORNIA STATE PRISON, SOLANO (SOL)",CALIFORNIA STATE PRISON SOLANO,California,state,0
CALIPATRIA STATE PRISON,CALIPATRIA STATE PRISON,California,state,0
CALIPATRIA STATE PRISON (CAL),CALIPATRIA STATE PRISON,California,state,0
CDCR/CCHCS WORKSITE LOCATION – FRESNO COUNTY,FRESNO COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – IMPERIAL COUNTY,IMPERIAL COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – MENDOCINO COUNTY,MENDOCINO COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – MONTEREY COUNTY,MONTEREY COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – ORANGE COUNTY,ORANGE COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – RIVERSIDE COUNTY,RIVERSIDE COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – SANTA BARBARA COUNTY,SANTA BARBARA COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – SANTA CLARA COUNTY,SANTA CLARA COUNTYWORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – SOLANO COUNTY,SOLANO COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – STANISLAUS COUNTY,STANISLAUS COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – TULARE COUNTY,TULARE COUNTYWORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION – VENTURA COUNTY,VENTURA COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION — SAN DIEGO COUNTY,SAN DIEGO COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION —LOS ANGELES COUNTY,LOS ANGELES COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION —SAN JOAQUIN COUNTY,SAN JOAQUIN COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION—KERN COUNTY,KERN COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION—SACRAMENTO COUNTY,SACRAMENTO COUNTY WORKSITE LOCATION,California,state,0
CDCR/CCHCS WORKSITE LOCATION—SAN BERNARDINO COUNTY,SAN BERNARDINO COUNTY WORKSITE LOCATION,California,state,0
CENTINELA STATE PRISON,CENTINELA STATE PRISON,California,state,0
CENTINELA STATE PRISON (CEN),CENTINELA STATE PRISON,California,state,0
CENTRAL CA WOMEN'S FACILITY,CENTRAL CALIFORNIA WOMENS FACILITY,California,state,0
CENTRAL CALIFORNIA WOMEN’S FACILITY (CCWF),CENTRAL CALIFORNIA WOMENS FACILITY,California,state,0
CHUCKAWALLA VALLEY STATE PRISON,CHUCKAWALLA VALLEY STATE PRISON,California,state,0
CHUCKAWALLA VALLEY STATE PRISON (CVSP),CHUCKAWALLA VALLEY STATE PRISON,California,state,0
CORRECTIONAL TRAINING FACILITY,CORRECTIONAL TRAINING FACILITY,California,state,0
CORRECTIONAL TRAINING FACILITY (CTF),CORRECTIONAL TRAINING FACILITY,California,state,0
DEUEL VOCATIONAL INSTITUTION,DEUEL VOCATIONAL INSTITUTION,California,state,0
DEUEL VOCATIONAL INSTITUTION (DVI),DEUEL VOCATIONAL INSTITUTION,California,state,0
FOLSOM STATE PRISON,FOLSOM STATE PRISON,California,state,0
FOLSOM STATE PRISON (FSP),FOLSOM STATE PRISON,California,state,0
HIGH DESERT STATE PRISON,HIGH DESERT STATE PRISON,California,state,0
HIGH DESERT STATE PRISON (HDSP),HIGH DESERT STATE PRISON,California,state,0
IRONWOOD STATE PRISON,IRONWOOD STATE PRISON,California,state,0
IRONWOOD STATE PRISON (ISP),IRONWOOD STATE PRISON,California,state,0
KERN VALLEY STATE PRISON,KERN VALLEY STATE PRISON,California,state,0
KERN VALLEY STATE PRISON (KVSP),KERN VALLEY STATE PRISON,California,state,0
MULE CREEK STATE PRISON,MULE CREEK STATE PRISON,California,state,0
MULE CREEK STATE PRISON (MCSP),MULE CREEK STATE PRISON,California,state,0
NA CHADERJIAN YOUTH CORRECTIONAL FACILITY (NAC),NA CHADERJIAN YOUTH CORRECTIONAL FACILITY,California,state,0
NORTH KERN STATE PRISON,NORTH KERN STATE PRISON,California,state,0
NORTH KERN STATE PRISON (NKSP),NORTH KERN STATE PRISON,California,state,0
NORTHERN CALIFORNIA YOUTH CORRECTIONAL CENTER (NCYCC),NORTHERN CALIFORNIA YOUTH CORRECTIONAL CENTER,California,state,0
OH CLOSE YOUTH CORRECTIONAL FACILITY (OH CLOSE),OH CLOSE YOUTH CORRECTIONAL FACILITY,California,state,0
PBSP PELICAN BAY STATE PRISON,PELICAN BAY STATE PRISON,California,state,0
PELICAN BAY STATE PRISON (PBSP),PELICAN BAY STATE PRISON,California,state,0
PINE GROVE JUVENILE PRISON CAMP,PINE GROVE JUVENILE PRISON CAMP,California,state,0
PLEASANT VALLEY STATE PRISON,PLEASANT VALLEY STATE PRISON,California,state,0
PLEASANT VALLEY STATE PRISON (PVSP),PLEASANT VALLEY STATE PRISON,California,state,0
R.J. DONOVAN CORR. FAC. ROCK MTN.,RJ DONOVAN CORRECTIONAL FACILITY,California,state,0
"RICHARD A. MCGEE CORRECTIONAL TRAINING CENTER, GALT (CTC)",RICHARD A MCGEE CORRECTIONAL TRAINING CENTER,California,state,0
RICHARD J. DONOVAN CORRECTIONAL FACILITY (RJD),RJ DONOVAN CORRECTIONAL FACILITY,California,state,0
SALINAS VALLEY STATE PRISON,SALINAS VALLEY STATE PRISON,California,state,0
SALINAS VALLEY STATE PRISON (SVSP),SALINAS VALLEY STATE PRISON,California,state,0
SAN QUENTIN STATE PRISON (SQ),SAN QUENTIN STATE PRISON,California,state,0
SIERRA CONSERVATION CENTER,SIERRA CONSERVATION CENTER,California,state,0
SIERRA CONSERVATION CENTER (SCC),SIERRA CONSERVATION CENTER,California,state,0
SUBSTANCE ABUSE TREATMENT FACILITY,SUBSTANCE ABUSE TREATMENT FACILITY,California,state,0
SUBSTANCE ABUSE TREATMENT FACILITY (SATF),SUBSTANCE ABUSE TREATMENT FACILITY,California,state,0
VALLEY STATE PRISON,VALLEY STATE PRISON,California,state,0
VALLEY STATE PRISON (VSP),VALLEY STATE PRISON,California,state,0
VENTURA,VENTURA,California,state,0
WASCO STATE PRISON,WASCO STATE PRISON,California,state,0
WASCO STATE PRISON (WSP),WASCO STATE PRISON,California,state,0
ENGLEWOOD FEDERAL CORRECTIONAL INSTITUTION,ENGLEWOOD FEDERAL CORRECTIONAL INSTITUTION,Colorado,federal,1
FLORENCE ADMAX UNITED STATES PENITENTIARY,FLORENCE ADMAX UNITED STATES PENITENTIARY,Colorado,federal,1
FLORENCE FEDERAL CORRECTIONAL INSTITUTION,FLORENCE FEDERAL CORRECTIONAL INSTITUTION,Colorado,federal,1
FLORENCE HIGH UNITED STATES PENITENTIARY,FLORENCE HIGH UNITED STATES PENITENTIARY,Colorado,federal,1
ARKANSAS VALLEY CORRECTIONAL FACILITY,ARKANSAS VALLEY CORRECTIONAL FACILITY,Colorado,state,0
ARROWHEAD CORRECTIONAL FACILITY,ARROWHEAD CORRECTIONAL FACILITY,Colorado,state,0
BENT COUNTY CORRECTIONAL FACILITY,BENT COUNTY CORRECTIONAL FACILITY,Colorado,state,0
BUENA VISTA CORRECTIONAL COMPLEX,BUENA VISTA CORRECTIONAL COMPLEX,Colorado,state,0
CENTENNIAL CORRECTIONAL FACILITY,CENTENNIAL CORRECTIONAL FACILITY,Colorado,state,0
COLORADO CORRECTIONAL CENTER,COLORADO CORRECTIONAL CENTER,Colorado,state,0
COLORADO STATE PENITENTIARY,COLORADO STATE PENITENTIARY,Colorado,state,0
COLORADO TERRITORIAL CORRECTIONAL FACILITY,COLORADO TERRITORIAL CORRECTIONAL FACILITY,Colorado,state,0
CROWLEY COUNTY CORRECTIONAL FACILITY,CROWLEY COUNTY CORRECTIONAL FACILITY,Colorado,state,0
DELTA CORRECTIONAL FACILITY,DELTA CORRECTIONAL FACILITY,Colorado,state,0
DENVER RECEPTION DIAGNOSTIC CENTER,DENVER RECEPTION DIAGNOSTIC CENTER,Colorado,state,0
DENVER WOMENS CORRECTIONAL FACILITY,DENVER WOMENS CORRECTIONAL FACILITY,Colorado,state,0
FOUR MILE CORRECTIONAL FACILITY,FOUR MILE CORRECTIONAL FACILITY,Colorado,state,0
FREMONT CORRECTIONAL FACILITY,FREMONT CORRECTIONAL FACILITY,Colorado,state,0
LA VISTA CORRECTIONAL FACILITY,LA VISTA CORRECTIONAL FACILITY,Colorado,state,0
LIMON CORRECTIONAL FACILITY,LIMON CORRECTIONAL FACILITY,Colorado,state,0
RIFLE CORRECTIONAL CENTER,RIFLE CORRECTIONAL CENTER,Colorado,state,0
SAN CARLOS CORRECTIONAL FACILITY,SAN CARLOS CORRECTIONAL FACILITY,Colorado,state,0
SKYLINE CORRECTIONAL CENTER,SKYLINE CORRECTIONAL CENTER,Colorado,state,0
STERLING CORRECTIONAL FACILITY,STERLING CORRECTIONAL FACILITY,Colorado,state,0
TRINIDAD CORRECTIONAL FACILITY,TRINIDAD CORRECTIONAL FACILITY,Colorado,state,0
YOUTHFUL OFFENDER SYSTEM,YOUTHFUL OFFENDER SYSTEM,Colorado,state,0
DANBURY FEDERAL CORRECTIONAL INSTITUTION,DANBURY FEDERAL CORRECTIONAL INSTITUTION,Connecticut,federal,1
BRIDGEPORT CORRECTIONAL CENTER,BRIDGEPORT CORRECTIONAL CENTER,Connecticut,state,0
BROOKLYN CORRECTIONAL INSTITUTION,BROOKLYN CORRECTIONAL INSTITUTION,Connecticut,state,0
CARL ROBINSON CORRECTIONAL INSTITUTION,CARL ROBINSON CORRECTIONAL INSTITUTION,Connecticut,state,0
CHESHIRE CORRECTIONAL INSTITUTION,CHESHIRE CORRECTIONAL INSTITUTION,Connecticut,state,0
CORRIGAN RADGOWSKI CORRECTIONAL CENTER,CORRIGAN RADGOWSKI CORRECTIONAL CENTER,Connecticut,state,0
GARNER CORRECTIONAL INSTITUTION,GARNER CORRECTIONAL INSTITUTION,Connecticut,state,0
HARTFORD CORRECTIONAL CENTER,HARTFORD CORRECTIONAL CENTER,Connecticut,state,0
MACDOUGALL WALKER CORRECTIONAL INSTITUTION,MACDOUGALL WALKER CORRECTIONAL INSTITUTION,Connecticut,state,0
MACDOUGALL WALKER CORRECTIONAL INSTITUTION,MACDOUGALL WALKER CORRECTIONAL INSTITUTION INFIRMIRY,Connecticut,state,0
MANSON YOUTH,MANSON YOUTH CORRECTIONAL CENTER,Connecticut,state,0
NEW HAVEN CORRECTIONAL CENTER,NEW HAVEN CORRECTIONAL CENTER,Connecticut,state,0
NORTHERN CORRECTIONAL INSTITUTION,NORTHERN CORRECTIONAL INSTITUTION,Connecticut,state,0
OSBORN CORRECTIONAL INSTITUTION,OSBORN CORRECTIONAL INSTITUTION,Connecticut,state,0
WILLARD CYBULSKI CORRECTIONAL INSTITUTION,WILLARD CYBULSKI CORRECTIONAL INSTITUTION,Connecticut,state,0
YORK CORRECTIONAL INSTITUTION,YORK CORRECTIONAL INSTITUTION,Connecticut,state,0
CENTRAL OFFICE HQ,CENTRAL OFFICE HEADQUARTERS,District of Columbia,federal,1
CENTRAL OFFICE HQ,CENTRAL OFFICE HEADQUARTERS,New Jersey,state,0
COUNTY-WIDE,COUNTYWIDE,District of Columbia,state,0
DELORES J BAYLOR WOMANS CORRECTIONAL INSTITUTION,DELORES J BAYLOR WOMANS CORRECTIONAL INSTITUTION,Delaware,state,0
HAZEL D PLANT WOMANS TREATMENT FACILITY,HAZEL D PLANT WOMANS TREATMENT FACILITY,Delaware,state,0
HOWARD R YOUNG CORRECTIONAL INSTITUTION,HOWARD R YOUNG CORRECTIONAL INSTITUTION,Delaware,state,0
JAMES T VAUGHN CORRECTIONAL CENTER,JAMES T VAUGHN CORRECTIONAL CENTER,Delaware,state,0
MORRIS COMMUNITY CORRECTIONS CENTER,MORRIS COMMUNITY CORRECTIONS CENTER,Delaware,state,0
PLUMMER COMMUNITY CORRECTIONS CENTER,PLUMMER COMMUNITY CORRECTIONS CENTER,Delaware,state,0
SUSSEX COMMUNITY CORRECTIONS CENTER,SUSSEX COMMUNITY CORRECTIONS CENTER,Delaware,state,0
SUSSEX CORRECTIONAL INSTITUTION,SUSSEX CORRECTIONAL INSTITUTION,Delaware,state,0
ST LUCE COUNTY JAIL,ST LUCE COUNTY JAIL,Florida,county,0
COLEMAN I UNITED STATES PENITENTIARY,COLEMAN I UNITED STATES PENITENTIARY,Florida,federal,1
COLEMAN II UNITED STATES PENITENTIARY,COLEMAN II UNITED STATES PENITENTIARY,Florida,federal,1
COLEMAN LOW FEDERAL CORRECTIONAL INSTITUTION,COLEMAN LOW FEDERAL CORRECTIONAL INSTITUTION,Florida,federal,1
COLEMAN MEDIUM FEDERAL CORRECTIONAL INSTITUTION,COLEMAN MEDIUM FEDERAL CORRECTIONAL INSTITUTION,Florida,federal,1
DISMAS CHARITIES OF ORLANDO,DISMAS CHARITIES OF ORLANDO,Florida,federal,1
JACKSONVILLE RESID REENTRY CTR,JACKSONVILLE RESIDENTIAL REENTRY CENTER,Florida,federal,1
MARIANNA FEDERAL CORRECTIONAL INSTITUTION,MARIANNA FEDERAL CORRECTIONAL INSTITUTION,Florida,federal,1
MIAMI FEDERAL CORRECTIONAL INSTITUTION,MIAMI FEDERAL CORRECTIONAL INSTITUTION,Florida,federal,1
MIAMI FEDERAL DETENTION CENTER,MIAMI FEDERAL DETENTION CENTER,Florida,federal,1
PENSACOLA FEDERAL PRISON CAMP,PENSACOLA FEDERAL PRISON CAMP,Florida,federal,1
SALVATION ARMY FORT MYERS FLORIDA,SALVATION ARMY FORT MYERS FLORIDA,Florida,federal,1
SALVATION ARMY RESIDENTIAL REENTRY CENTER WEST PALM BEACH,SALVATION ARMY RESIDENTIAL REENTRY CENTER WEST PALM BEACH,Florida,federal,1
TALLAHASSEE FEDERAL CORRECTIONAL INSTITUTION,TALLAHASSEE FEDERAL CORRECTIONAL INSTITUTION,Florida,federal,1
APALACHEE CORRECTIONAL INSTITUTION,APALACHEE CORRECTIONAL INSTITUTION,Florida,state,0
AVON PARK CORRECTIONAL INSTITUTION,AVON PARK CORRECTIONAL INSTITUTION,Florida,state,0
BAKER CORRECTIONAL INSTITUTION,BAKER CORRECTIONAL INSTITUTION,Florida,state,0
BAY CORRECTIONAL FACILITY,BAY CORRECTIONAL FACILITY,Florida,state,0
BLACKWATER CORRECTIONAL FACILITY GEO GROUP,BLACKWATER CORRECTIONAL FACILITY,Florida,state,0
CALHOUN CORRECTIONAL INSTITUTION,CALHOUN CORRECTIONAL INSTITUTION,Florida,state,0
CENTRAL OFFICE,CENTRAL OFFICE,Florida,state,0
CENTURY CORRECTIONAL INSTITUTION,CENTURY CORRECTIONAL INSTITUTION,Florida,state,0
CFRC,CENTRAL FLORIDA RECEPTION CENTER,Florida,state,0
CHARLOTTE CORRECTIONAL INSTITUTION,CHARLOTTE CORRECTIONAL INSTITUTION,Florida,state,0
COLUMBIA CORRECTIONAL INSTITUTION,COLUMBIA CORRECTIONAL INSTITUTION,Florida,state,0
COMMUNITY CORRECTIONS REGION 1,COMMUNITY CORRECTIONS REGION 1,Florida,state,0
COMMUNITY CORRECTIONS REGION 2,COMMUNITY CORRECTIONS REGION 2,Florida,state,0
COMMUNITY CORRECTIONS REGION 3,COMMUNITY CORRECTIONS REGION 3,Florida,state,0
COMMUNITY CORRECTIONS REGION 4,COMMUNITY CORRECTIONS REGION 4,Florida,state,0
CROSS CITY CORRECTIONAL INSTITUTION,CROSS CITY CORRECTIONAL INSTITUTION,Florida,state,0
DADE CORRECTIONAL INSTITUTION,DADE CORRECTIONAL INSTITUTION,Florida,state,0
DESOTO ANNEX,DESOTO ANNEX,Florida,state,0
EVERGLADES CORRECTIONAL INSTITUTION,EVERGLADES CORRECTIONAL INSTITUTION,Florida,state,0
FLORIDA STATE PRISON,FLORIDA STATE PRISON,Florida,state,0
FRANKLIN CORRECTIONAL INSTITUTION,FRANKLIN CORRECTIONAL INSTITUTION,Florida,state,0
FWRC,FLORIDA WOMENS RECEPTION CENTER,Florida,state,0
GADSDEN CORRECTIONAL FACILITY,GADSDEN CORRECTIONAL FACILITY,Florida,state,0
GADSDEN REENTRY CENTER,GADSDEN REENTRY CENTER,Florida,state,0
GRACEVILLE CORRECTIONAL FACILITY,GRACEVILLE CORRECTIONAL FACILITY,Florida,state,0
GULF CORRECTIONAL INSTITUTION,GULF CORRECTIONAL INSTITUTION,Florida,state,0
HAMILTON CORRECTIONAL INSTITUTION,HAMILTON CORRECTIONAL INSTITUTION,Florida,state,0
HARDEE CORRECTIONAL INSTITUTION,HARDEE CORRECTIONAL INSTITUTION,Florida,state,0
