"Facility.ID","PREA.Audit.Date","PREA.Report.Date","PREA.Staff.Population","PREA.Residents.Population","PREA.Capacity","PREA.Staff.Population.Type","PREA.Residents.Population.Type","PREA.Source"
17,2018-08-15,2018-08-15,52,,300,"Contact",,"http://doc.state.al.us/docs/PREA/FrankLeeWRAuditorReport.pdf"
18,2020-01-29,2020-04-07,131,285,298,"Contact","Current","http://www.doc.state.al.us/docs/PREA/Alabama_Hamilton%20Aged%20and%20Infirmed_PREA2020.pdf"
19,2020-01-31,2020-04-07,46,261,278,"Contact","Current","http://www.doc.state.al.us/docs/PREA/Alabama_Hamilton%20Community%20Work%20Center_PREA2020.pdf"
20,2020-02-18,2020-08-13,181,727,978,"Contact","Current","http://www.doc.state.al.us/docs/PREA/Alabama_Holman%20Correctional%20Facility_PREA2020.pdf"
22,2020-01-19,2020-04-17,247,1354,1448,"Contact","Current","http://www.doc.state.al.us/docs/PREA/Alabama_Kilby%20Correctional%20Facility_PREA2020.pdf"
23,2020-01-15,2020-02-27,320,2192,2459,"Contact","Current","http://www.doc.state.al.us/docs/PREA/Alabama_Limestone%20Correctional%20Facility_PREA2020.pdf"
24,2020-01-24,2020-02-26,39,377,386,"Contact","Current","http://www.doc.state.al.us/docs/PREA/Alabama_Loxley%20Community%20Work%20Center_PREA2020.pdf"
25,2020-01-08,2020-02-28,43,209,256,"Contact","Current","http://www.doc.state.al.us/docs/PREA/Alabama_Mobile%20Community%20Work%20Center_PREA2020.pdf"
27,2021-02-08,2021-03-25,69,137,300,"Contact","Current","http://www.doc.state.al.us/docs/PREA/MWF.PREA%20Report.Final.pdf"
28,2021-02-25,2021-04-15,70,374,715,"Contact","Current","http://www.doc.state.al.us/docs/PREA/North%20Alabama%20Final%20Report.pdf"
29,2021-02-10,2021-03-21,43,220,312,"Contact","Current","http://www.doc.state.al.us/docs/PREA/Red%20Eagle%20PREA%20Report.Final.pdf"
33,2018-05-03,2018-09-24,172,990,1123,"Contact","Current","http://doc.state.al.us/docs/PREA/StClairCorrectionalFacilityAuditorReport.pdf"
35,2021-01-28,2021-03-11,250,1455,850,"Contact","Current","http://www.doc.state.al.us/docs/PREA/Staton%20Report.Final.pdf"
39,2019-01-24,2019-03-26,180,890,950,"Contact","Current","http://www.doc.alabama.gov/docs/PREA/Julia%20Tutwiler%20Prison%20for%20Women%20PREA%20032619.pdf"
41,2018-07-28,2018-09-05,179,1293,1335,"Contact","Current","http://www.doc.state.al.us/docs/PREA/VentressCorrectionalFacilityAuditorReport.pdf"
42,2019-06-07,2020-02-05,305,875,863,"Contact","Current","https://doc.alaska.gov/prea/audit-reports/acc-2019.pdf"
47,2018-05-24,2019-01-07,198,1277,1280,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/asp-cacf_prea-audit-final-report-redacted_fy2019.pdf"
51,2020-11-04,2020-11-10,552,2076,2488,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea-audit-summary-report-douglas-2020_112420.pdf"
52,2019-01-16,2019-01-27,960,5567,5663,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea-audit-summary-report-eyman_2019.pdf"
53,2019-01-16,2019-01-27,792,3715,4233,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea-audit-summary-report-florence_2019.pdf"
54,2019-03-13,2019-05-28,166,700,750,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea-audit-summarty-report-florencewest_2019.pdf"
55,2018-03-09,2018-11-19,618,3341,3658,"Contact","Current","https://www.geogroup.com/Portals/0/PREA_Certifications/ASPC%20%20Kingman%20Final%20Report.pdf"
56,2021-03-31,2021-05-04,1079,4590,6410,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/aspc-lewis_final_report.pdf"
57,2020-10-25,2020-12-02,106,335,506,"Contact","Current","https://www.mtctrains.com/wp-content/uploads/2021/01/Arizona-State-Prison-Marana-PREA-Final-Report.pdf"
59,2020-01-22,2020-01-23,44,57,100,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea-report-mrc-2020.pdf"
60,2020-01-29,2020-01-30,831,4381,4311,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea-report-perryville-2020.pdf"
62,2020-01-27,2020-01-29,287,523,731,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea-report-phoenix-2020.pdf"
63,2019-03-15,2019-05-29,124,494,519,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea-audit-summary-report-phoenixwest_2019.pdf"
64,2021-03-26,2021-04-15,24,0,92,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/adcrr-prc_prea-audit-final-report-redacted_fy21.pdf"
65,2018-05-10,2018-10-30,362,1959,2000,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/corecivic-red-rock_prea-audit-final-report-redacted.pdf"
67,2020-10-30,2020-11-06,369,1506,1924,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea_audit_summary_report_safford-2020_112420.pdf"
70,2021-03-24,2021-04-12,1406,4718,5109,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/aspc-tucson_prea-audit-final-report-redacted_fy2021.pdf"
72,2020-03-13,2020-03-16,434,1240,1893,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/prea-audit-summary-report-winslow_2020.pdf"
73,2019-04-12,2019-04-22,926,4837,4770,"Contact","Current","https://corrections.az.gov/sites/default/files/REPORTS/PREA/aspc-yuma_prea-audit-final-report-redacted_fy2019.pdf"
83,2018-07-20,2019-03-27,1345,4320,4370,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/asp-2018-prea-report.pdf?label=Avenal%20State%20Prison%20(ASP),%202018&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
88,2017-08-10,,608,2343,2381,"Assigned (Last 12 Months)","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/cac-2017-prea-report.pdf?label=California%20City%20Correctional%20Facility%20(CAC),%202017&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
89,2019-05-18,2019-11-25,1128,4581,5882,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/01/CCC-2019-PREA-Final-Report.pdf?label=California%20Correctional%20Center%20(CCC),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
90,2020-10-30,2021-03-11,1532,3665,2768,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2021/03/CCI-2020-PREA-Final-Report.pdf?label=California%20Correctional%20Institution%20(CCI),%202020&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
91,2019-10-25,2020-06-12,3902,2770,2951,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/06/CHCF-2019-PREA-Final-Report.pdf?label=California%20Health%20Care%20Facility%20(CHCF),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
92,2018-08-17,,1771,3736,2976,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/cim-2018-prea-report.pdf?label=California%20Institution%20for%20Men%20(CIM),%202018&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
93,2019-04-12,2020-01-06,1164,1866,1390,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/01/CIW-2019-PREA-Final-Report.pdf?label=California%20Institution%20for%20Women%20(CIW),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
94,2017-03-09,,1566,2565,2744,"Assigned (Last 12 Months)","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/cmf-2017-prea-report.pdf?label=California%20Medical%20Facility%20(CMF),%202017&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
95,2020-07-10,2021-03-05,2345,3757,440,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2021/03/CMC-2020-PREA-Final-Report.pdf?label=California%20Men%E2%80%99s%20Colony%20(CMC),%202020&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
96,2020-03-13,2020-12-04,1018,2568,3456,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/12/CRC-2020-PREA-Final-Report.pdf?label=California%20Rehabilitation%20Center%20(CRC),%202020&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
97,2018-01-12,2018-07-10,1768,3088,4838,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/cor-2018-prea-report.pdf?label=California%20State%20Prison%20%E2%80%93%20Corcoran%20(COR),%202018&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
98,2020-03-06,2020-10-05,1564,3213,3517,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/10/LAC-2020-PREA-Final-Report.pdf?label=California%20State%20Prison-Los%20Angeles%20(LAC),%202020&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
99,2020-08-16,2020-04-06,1678,2124,3313,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/04/SAC-2019-PREA-Final-Report.pdf?label=California%20State%20Prison%20Sacramento%20(SAC),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
100,2019-07-12,,2138,3968,4885,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/03/SQSP-2020-PREA-Final-Report.pdf?label=San%20Quentin%20State%20Prison%20(SQSP),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
101,2019-10-18,2020-09-17,1336,4543,2610,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/11/SOL-2019-PREA-Final-Reprt.pdf?label=California%20State%20Prison%20Solano%20(SOL),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
102,2019-12-12,2020-08-24,1204,3453,2316,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/08/CAL-2019-PREA-Final-Report.pdf?label=Calipatria%20State%20Prison%20(CAL),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
111,2017-04-25,2018-01-08,1209,3599,2308,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/cen-2017-prea-report.pdf"
112,2019-03-08,2019-09-30,1177,2814,2756,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2019/10/CCWF-2019-PREA-Report.pdf?label=Central%20California%20Women%E2%80%99s%20Facility%20(CCWF),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
113,2018-11-09,2019-06-19,822,2881,1738,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2019/06/CVSP-2018-PREA-report.pdf?label=Chuckawalla%20Valley%20State%20Prison%20(CVSP),%202018&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
115,2018-01-25,2018-07-17,1298,5235,3312,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/ctf-2018-prea-report.pdf?label=California%20Training%20Facility%20(CTF),%202018&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
116,2018-05-25,2019-02-19,1077,2261,3115,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/dvi-2019-prea-report.pdf?label=Deuel%20Vocational%20Institute%20(DVI),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
120,2019-03-22,2019-05-06,1137,3425,3498,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/fsp-audit-report-final-5-6-19.pdf?label=Folsom%20State%20Prison%20(FSP),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
128,2019-05-10,2019-12-16,1443,3171,1900,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2019/12/HDSP-2019-PREA-Final-Report.pdf?label=High%20Desert%20State%20Prison%20(HDSP),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
129,2019-02-01,2019-09-04,1058,3059,2200,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2019/09/ISP-2019-PREA-Report.pdf?label=Ironwood%20State%20Prison%20(ISP),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
131,2018-03-01,2018-10-09,1677,3667,,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/kvsp-2018-prea-report.pdf?label=Kern%20Valley%20State%20Prison%20(KVSP),%202018&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
139,2018-07-27,2019-01-07,1728,4267,4992,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/mcsp-2018-prea-report.pdf?label=Mule%20Creek%20State%20Prison%20(MCSP),%202018&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
140,2018-04-24,2019-01-02,315,194,600,"Contact","Current","https://www.cdcr.ca.gov/juvenile-justice/wp-content/uploads/sites/168/2020/08/Jan_2019_N.A._Chaderjian_YCF_PREA_Final_Report.pdf?label=N.A.%20Chaderjian%20Youth%20Correctional%20Facility,%202019%20PREA%20Final%20Report&from=https://www.cdcr.ca.gov/juvenile-justice/division-of-juvenile-justice-djj/prea/prea-reports-and-audits/"
141,2019-02-08,2019-05-29,1415,4106,2710,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/nksp-2019.pdf?label=North%20Kern%20State%20Prison%20(NKSP),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
143,2016-06-15,2017-02-02,280,176,379,"Assigned (Last 12 Months)","Current","https://www.cdcr.ca.gov/juvenile-justice/wp-content/uploads/sites/168/2020/08/Feb_2017_O.H._Close_YCF_PREA_Audit_Final_Report.pdf?label=O.H.%20Close%20Youth%20Correctional%20Facility,%202017%20PREA%20Final%20Report&from=https://www.cdcr.ca.gov/juvenile-justice/division-of-juvenile-justice-djj/prea/prea-reports-and-audits/"
145,2020-09-04,2021-05-24,1300,2671,2831,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2021/06/PBSP-2020-PREA-Final-Report.pdf?label=Pelican%20Bay%20State%20Prison%20(PBSP),%202020&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
146,2016-06-13,2017-02-02,40,64,80,"Assigned (Last 12 Months)","Current","https://www.cdcr.ca.gov/juvenile-justice/wp-content/uploads/sites/168/2020/09/PGYCC_PREA_Audit_Final_Report_Feb_2017.pdf?label=Pine%20Grove%20Youth%20Conservation%20Camp,%202017%20PREA%20Final%20Report&from=https://www.cdcr.ca.gov/juvenile-justice/division-of-juvenile-justice-djj/prea/prea-reports-and-audits/"
147,2018-08-10,2019-02-23,1343,3030,2280,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/pvsp-2019-prea-report.pdf?label=Pleasant%20Valley%20State%20Prison%20(PVSP),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
150,2017-07-15,2018-02-14,2266,3809,4072,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/rjd-2017-prea-report.pdf?label=Richard%20J.%20Donovan%20Correctional%20Facility%20(RJD),%202017&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
152,2018-06-15,,1920,3249,2242,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/svsp-2018-prea-report.pdf?label=Salinas%20Valley%20State%20Prison%20(SVSP),%202018&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
158,2019-04-11,2019-11-25,1196,4129,5147,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2020/01/SCC-2019-PREA-Final-Report.pdf?label=Sierra%20Conservation%20Center%20(SCC),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
161,2018-03-23,2018-05-07,2238,5598,3424,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/satf-2017-prea-report.pdf?label=California%20Substance%20Abuse%20Treatment%20Facility%20(SATF)%20%E2%80%93%20Corcoran,%202017&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
164,2017-11-17,2018-02-20,1083,3546,3940,"Contact","Current","https://www.cdcr.ca.gov/wp-content/uploads/sites/186/2019/06/vsp-2017-prea-report.pdf?label=Valley%20State%20Prison%20(VSP),%202017&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
171,2019-01-11,2019-07-10,1507,4904,2984,"Contact","Current","https://www.cdcr.ca.gov/prea/wp-content/uploads/sites/186/2019/07/Wasco-State-Prison-Final-PREA-Audit-Report-2019.pdf?label=Wasco%20State%20Prison%20(WSP),%202019&from=https://www.cdcr.ca.gov/prea/prea/reports-audits/"
174,2017-06-28,2017-08-01,365,1035,725,"Contact","Current","https://drive.google.com/file/d/0B4MERDfEnvS8T2t3MFFtRHJheTA/view?resourcekey=0-aFfhrXM_ovcL5TekUwr4WQ"
177,2019-05-08,2019-07-07,322,1216,1234,"Contact","Current","https://drive.google.com/file/d/1BxEQ2CBfHR9yhbLs4Naez-NT7RKX2GRU/view"
178,2018-06-05,2018-07-04,251,301,336,"Contact","Current","https://drive.google.com/file/d/1XnCYTTvQ0wotdb09CqkTYcA0PTHoGcXO/view"
180,2018-06-05,2018-07-04,357,681,756,"Contact","Current","https://drive.google.com/file/d/19q5ApaiqbRSEzs7bBC9sAmjlvBD1e4cz/view"
181,2019-04-11,2019-06-08,395,935,985,"Contact","Current","https://drive.google.com/file/d/1G9z1kXo56-kbYmytqfhnuF6bRKmjNrAz/view"
182,2018-09-13,2019-05-09,245,1743,1794,"Contact","Current","https://www.corecivic.com/hubfs/_files/PREA/2018-Crowley%20Final%20PREA%20Audit%20Report.pdf"
183,2019-10-09,2020-03-09,119,470,480,"Contact","Current","https://drive.google.com/file/d/1ryLRhkaPiYNoT7BCEuqK2WLejDpko4W3/view"
191,2019-05-23,2019-12-10,490,1607,1620,"Contact","Current","https://drive.google.com/file/d/13bJn5VwSV-pedQGnMedy3vyA5M5zv7HB/view"
192,2018-03-14,2018-04-18,197,636,707,"Contact","Current","https://drive.google.com/file/d/1aYLk_sbB2fCp5GhJR7gchNajC-MwjfPN/view"
193,2018-10-19,2018-12-31,375,908,930,"Contact","Current","https://drive.google.com/file/d/13VSXdxqhT5rndngYHxztBVO9FZk5jT1q/view"
194,2019-10-11,2020-03-09,60,192,192,"Contact","Current","https://drive.google.com/file/d/1AuHaX-rY-rWB9Tl6_JTEqUMIuHssUOqp/view"
195,2018-02-16,2018-03-23,226,206,255,"Contact","Current","https://drive.google.com/file/d/1-rP7Eu-70H-lPGBinSsMt2wr8P-HVrqw/view"
199,2018-02-14,2018-03-26,161,493,508,"Contact","Current","https://drive.google.com/file/d/1wGuLTGfu5qh3W0xHmaHELjw-M7V08WSe/view"
200,2018-03-16,2018-04-27,185,179,256,"Contact","Current","https://drive.google.com/file/d/1qy5H6Cwh7ly-_ywtTul20x1wij7PMuKo/view"
201,2018-05-09,2018-09-23,265,776,879,"Hired (Last 12 Months)","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREA/PREAAuditorBridgeport2018.pdf?la=en"
203,2017-05-10,2017-06-22,342,1464,1478,"Assigned (Last 12 Months)","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREAAuditCRCI06222017pdf.pdf"
204,2019-08-07,2019-10-07,405,1358,1580,"Contact","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREAAuditorCheshirepdf.pdf"
206,2018-02-28,2018-06-27,383,1195,1304,"Contact","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREA/PREAAuditorCRCI2018.pdf?la=en"
209,2017-08-16,2017-11-19,264,553,693,"Assigned (Last 12 Months)","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREA/PREAAuditorGarner2017.pdf"
210,2019-08-07,2019-10-06,337,640,921,"Contact","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREAAuditorHartfordpdf.pdf"
212,2019-03-27,2019-10-04,710,1947,2131,"Contact","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREAAuditorMacDougallWalkerpdf.pdf?la=en"
213,2018-07-25,2018-09-19,330,469,713,"Contact","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREA/PREAAuditorMYI2018.pdf"
216,2018-06-07,2018-07-21,235,274,604,"Contact","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREA/PREAAuditorNorthern2018.pdf"
217,2019-03-09,,536,1340,1505,"Contact","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREA/PREAReportOsborn08272019.pdf"
220,2018-07-13,2019-09-18,240,1148,1148,"Contact","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREA/PREAReportWillard09272018.pdf"
221,2019-08-07,2019-10-06,587,430,1320,"Contact","Current","https://portal.ct.gov/-/media/DOC/Pdf/PREAAuditorYorkpdf.pdf"
222,2018-06-13,2018-07-26,94,350,200,"Contact","Current","https://doc.delaware.gov/assets/documents/PREA_Audit_Report_BWCI_2018.pdf"
226,2019-07-17,2019-08-17,339,1354,1200,"Contact","Current","https://doc.delaware.gov/assets/documents/PREA_Audit_Report_HRYCI_2019.pdf"
227,2019-07-19,2019-08-30,698,1919,2600,"Contact","Current","https://doc.delaware.gov/assets/documents/PREA_Audit_Report_JTVCC_2019.pdf"
228,2019-01-30,2019-03-14,36,99,150,"Contact","Current","https://doc.delaware.gov/assets/documents/PREA_Audit_Report_MCCC_2019.pdf"
231,2018-06-20,2018-07-11,74,156,256,"Contact","Current","https://doc.delaware.gov/assets/documents/PREA_Audit_Report_Plummer_2018.pdf"
237,2017-06-14,2017-07-08,6,1157,1250,"Contact","Current","https://doc.delaware.gov/assets/documents/PREA_Audit_Report_SCI_RecertificationAudit2017.pdf"
240,2021-03-11,2021-04-26,365,1678,1670,"Contact","Current","http://www.dc.state.fl.us/PREA/Apalachee_PREA_Audit_2021.pdf"
241,2020-10-08,2020-11-20,301,1517,1612,"Contact","Current","http://www.dc.state.fl.us/PREA/Avon%20Park%20PREA%20Audit%20FINAL.pdf"
242,2020-03-06,2020-04-20,369,1851,1885,"Contact","Current","http://www.dc.state.fl.us/PREA/Baker%20CI%20March%202020%20Final%20Version.pdf"
243,2020-09-17,2020-10-08,178,896,985,"Contact","Current","http://www.dc.state.fl.us/PREA/Bay_PREA-Audit_Report_Final_2020.pdf"
244,2019-05-23,2019-07-05,362,1978,2000,"Contact","Current","http://www.dc.state.fl.us/PREA/2019%20Blackwater%20River%20PREA%20Audit%20Report-Final.pdf"
246,2020-12-03,2021-01-05,364,1701,1787,"Contact","Current","http://www.dc.state.fl.us/PREA/Calhoun%20CI%20PREA%20Audit%20Report%20Dec%202020%20-%20%20FINAL.pdf"
247,2018-07-12,2018-08-24,675,2082,3454,"Contact","Current","http://www.dc.state.fl.us/PREA/CFRC%20PREA%20Final%20Report%202018.pdf"
249,2018-12-20,2019-03-05,394,1365,1345,"Contact","Current","http://www.dc.state.fl.us/PREA/PREA%20Report%20(Century%20Correctional).pdf"
250,2020-01-10,2020-01-16,403,1290,1523,"Contact","Current","http://www.dc.state.fl.us/PREA/Final%20Report%201-16-2020.pdf"
255,2020-03-13,2020-04-13,421,2528,3279,"Contact","Current","http://www.dc.state.fl.us/PREA/Columbia%20CI%20Final%20Report.2020.pdf"
260,2019-09-13,2019-09-17,341,1653,1788,"Contact","Current","http://www.dc.state.fl.us/PREA/CRCCI%20Final%20Report.pdf"
261,2015-03-19,,482,1571,1070,"Contact","Current","http://www.dc.state.fl.us/PREA/Dade2015.pdf"
262,2021-02-25,2021-04-07,388,1712,1927,"Contact","Current","http://www.dc.state.fl.us/PREA/Desoto%20CI%20%20PREA%20Audit%202021%20Final%20Report.pdf"
265,2019-06-20,2019-08-08,589,2189,1287,"Contact","Current","http://www.dc.state.fl.us/PREA/2019%20Everglades%20Final%20PREA%20report.pdf"
266,2020-10-23,2020-12-02,570,2115,2262,"Contact","Current","http://www.dc.state.fl.us/PREA/FSP%20PREA%20Audit%202020%20FINAL.pdf"
268,2020-06-26,2020-08-03,243,1492,1778,"Contact","Current","http://www.dc.state.fl.us/PREA/Franklin%20C.I.%20PREA%20Audit%20June%202020%20Final.pdf"
269,2020-07-23,2020-08-06,254,1117,1250,"Contact","Current","http://www.dc.state.fl.us/PREA/Gadsden%20PREA%20Audit%20Final%20Report.pdf"
270,2019-04-30,2019-06-28,120,391,294,"Contact","Current","http://www.dc.state.fl.us/PREA/Final%20PREA%20Report%20(Gadsden%20Re-Entry%20Center).pdf"
271,2018-04-25,2019-02-02,241,1866,1884,"Contact","Current","http://www.dc.state.fl.us/PREA/2018%20GEO%20Graceville%20PREA%20Final%20report.pdf"
272,2021-04-22,2021-06-16,278,913,1496,"Contact","Current","http://www.dc.state.fl.us/PREA/Gulf%20CI%20%20PREA%20Audit%20Report%20Apr%202021%20%20%20Final%20.pdf"
273,2018-12-20,2019-01-21,423,2455,1779,"Contact","Current","http://www.dc.state.fl.us/PREA/Final%20Hamilton%20CI%20PREA.PDF"
274,2021-01-28,2021-03-03,397,1702,2098,"Contact","Current","http://www.dc.state.fl.us/PREA/Hardee%20CI%20%20PREA%20Report%20Jan%202021%20%20FINAL%20-%20.pdf"
275,2019-10-15,2019-12-02,132,465,470,"Contact","Current","http://www.dc.state.fl.us/PREA/Hernando_Final_Report.pdf"
