"Facility.ID","State","xwalk_name_raw","xwalk_name_clean","Jurisdiction"
27,"Alabama","MONTGOMERY WOMENS FACILITY","MONTGOMERY WOMENS FACILITY","state"
28,"Alabama","NORTH ALABAMA","NORTH ALABAMA COMMUNITY BASED FACILITY","state"
28,"Alabama","NORTH ALABAMA COMMUNITY BASED FACILITY","NORTH ALABAMA COMMUNITY BASED FACILITY","state"
28,"Alabama","NORTH ALABAMA COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER","NORTH ALABAMA COMMUNITY BASED FACILITY","state"
29,"Alabama","RED EAGLE","RED EAGLE COMMUNITY BASED FACILITY","state"
29,"Alabama","RED EAGLE COMMUNITY BASED FACILITY","RED EAGLE COMMUNITY BASED FACILITY","state"
29,"Alabama","RED EAGLE COMMUNITY WORK CENTER","RED EAGLE COMMUNITY BASED FACILITY","state"
30,"Alabama","REGIONAL TRAINING CENTERS","REGIONAL TRAINING CENTERS","state"
33,"Alabama","ST CLAIR","ST CLAIR CORRECTIONAL FACILITY","state"
33,"Alabama","ST CLAIR CORRECTIONAL FACILITY","ST CLAIR CORRECTIONAL FACILITY","state"
34,"Alabama","STATEWIDE","STATEWIDE","state"
35,"Alabama","STATON","STATON CORRECTIONAL FACILITY","state"
35,"Alabama","STATON CORRECTIONAL FACILITY","STATON CORRECTIONAL FACILITY","state"
38,"Alabama","TRAINING ACADEMY","TRAINING ACADEMY","state"
39,"Alabama","TUTWILER","TUTWILER PRISON FOR WOMEN","state"
39,"Alabama","TUTWILER PRISON FOR WOMEN","TUTWILER PRISON FOR WOMEN","state"
40,"Alabama","TUTWILER QIF","TUTWILER QUARANTINE INTAKE FACILITY","state"
40,"Alabama","TUTWILER QUARANTINE INTAKE FACILITY","TUTWILER QUARANTINE INTAKE FACILITY","state"
41,"Alabama","VENTRESS","VENTRESS CORRECTIONAL FACILITY","state"
41,"Alabama","VENTRESS CORRECTIONAL FACILITY","VENTRESS CORRECTIONAL FACILITY","state"
42,"Alaska","ANCHORAGE CCC","ANCHORAGE CCC","state"
43,"Alaska","GOOSE CREEK CC","GOOSE CREEK CC","state"
44,"Alaska","LEMON CREEK CC JUNEAU","LEMON CREEK CC JUNEAU","state"
45,"Alaska","STATEWIDE","STATEWIDE","state"
45,"Alaska","STATEWIDE FOR NON-FACILITY","STATEWIDE","state"
45,"Alaska","STATEWIDE FOR NON-SPECIFIC FACILITIES","STATEWIDE","state"
45,"Alaska","STATEWIDE FOR RESIDENTS","STATEWIDE","state"
45,"Alaska","STATEWIDE FOR STAFF COUNT","STATEWIDE","state"
45,"Alaska","STATEWIDE INMATES ONLY UNTIL ALSO PROVIDED","STATEWIDE","state"
45,"Alaska","STATEWIDE NON-FACILITY","STATEWIDE","state"
45,"Alaska","STATEWIDE STAFF ONLY","STATEWIDE","state"
45,"Alaska","STATEWIDEFORNON-FACILITY","STATEWIDE","state"
47,"Arizona","CACF","CENTRAL ARIZONA CORRECTIONAL FACILITY","state"
47,"Arizona","CENTRAL ARIZONA CORRECTIONAL FACILITY","CENTRAL ARIZONA CORRECTIONAL FACILITY","state"
51,"Arizona","ASPC DOUGLAS","DOUGLAS STATE PRISON","state"
51,"Arizona","DOUGLAS","DOUGLAS STATE PRISON","state"
51,"Arizona","DOUGLAS STATE PRISON","DOUGLAS STATE PRISON","state"
52,"Arizona","ASPC EYMAN","EYMAN STATE PRISON","state"
52,"Arizona","EYEMAN","EYMAN STATE PRISON","state"
52,"Arizona","EYMAN","EYMAN STATE PRISON","state"
52,"Arizona","EYMAN STATE PRISON","EYMAN STATE PRISON","state"
53,"Arizona","ASPC FLORENCE","FLORENCE STATE PRISON","state"
53,"Arizona","FLORENCE","FLORENCE STATE PRISON","state"
53,"Arizona","FLORENCE AZ STATE PRISON COMPLEX","FLORENCE STATE PRISON","state"
53,"Arizona","FLORENCE STATE PRISON","FLORENCE STATE PRISON","state"
54,"Arizona","FLORENCE WEST","FLORENCE WEST STATE PRISON","state"
54,"Arizona","FLORENCE WEST STATE PRISON","FLORENCE WEST STATE PRISON","state"
55,"Arizona","KINGMAN","KINGMAN STATE PRISON","state"
55,"Arizona","KINGMAN STATE PRISON","KINGMAN STATE PRISON","state"
56,"Arizona","ASPC LEWIS","LEWIS STATE PRISON","state"
56,"Arizona","LEWIS","LEWIS STATE PRISON","state"
56,"Arizona","LEWIS STATE PRISON","LEWIS STATE PRISON","state"
57,"Arizona","MARANA","MARANA STATE PRISON","state"
57,"Arizona","MARANA COMMUNITY CORRECTIONAL TREATMENT FACILITY","MARANA STATE PRISON","state"
57,"Arizona","MARANA STATE PRISON","MARANA STATE PRISON","state"
58,"Arizona","MARICOPA COUNTY JAIL","MARICOPA COUNTY JAIL","county"
59,"Arizona","MARICOPA REEENTRY CENTER","MARICOPA REEENTRY CENTER","state"
59,"Arizona","MRC","MARICOPA REEENTRY CENTER","state"
60,"Arizona","ASPC PERRYVILLE","PERRYVILLE STATE PRISON","state"
60,"Arizona","PERRYVILLE","PERRYVILLE STATE PRISON","state"
60,"Arizona","PERRYVILLE STATE PRISON","PERRYVILLE STATE PRISON","state"
62,"Arizona","ASPC PHOENIX","PHOENIX STATE PRISON","state"
62,"Arizona","PHOENIX","PHOENIX STATE PRISON","state"
62,"Arizona","PHOENIX PA","PHOENIX STATE PRISON","state"
62,"Arizona","PHOENIX STATE PRISON","PHOENIX STATE PRISON","state"
63,"Arizona","PHOENIX WEST","PHOENIX WEST STATE PRISON","state"
63,"Arizona","PHOENIX WEST STATE PRISON","PHOENIX WEST STATE PRISON","state"
64,"Arizona","PIMA REENTRY CENTER","PIMA REENTRY CENTER","state"
64,"Arizona","PRC","PIMA REENTRY CENTER","state"
65,"Arizona","RED ROCK","RED ROCK STATE PRISON","state"
65,"Arizona","RED ROCK STATE PRISON","RED ROCK STATE PRISON","state"
67,"Arizona","ASPC SAFFORD","SAFFORD STATE PRISON","state"
67,"Arizona","SAFFORD","SAFFORD STATE PRISON","state"
67,"Arizona","SAFFORD STATE PRISON","SAFFORD STATE PRISON","state"
68,"Arizona","STATEWIDE","STATEWIDE","state"
68,"Arizona","STATEWIDE FOR NON-FACILITY","STATEWIDE","state"
68,"Arizona","STATEWIDE FOR NON-SPECIFIC FACILITIES","STATEWIDE","state"
68,"Arizona","STATEWIDE FOR RESIDENTS","STATEWIDE","state"
68,"Arizona","STATEWIDE FOR STAFF COUNT","STATEWIDE","state"
68,"Arizona","STATEWIDE INMATES ONLY UNTIL ALSO PROVIDED","STATEWIDE","state"
68,"Arizona","STATEWIDE NON-FACILITY","STATEWIDE","state"
68,"Arizona","STATEWIDE STAFF ONLY","STATEWIDE","state"
68,"Arizona","STATEWIDEFORNON-FACILITY","STATEWIDE","state"
70,"Arizona","ASPC TUSCON","TUCSON STATE PRISON","state"
70,"Arizona","TUCSON","TUCSON STATE PRISON","state"
70,"Arizona","TUCSON STATE PRISON","TUCSON STATE PRISON","state"
72,"Arizona","ASPC WINSLOW","WINSLOW STATE PRISON","state"
72,"Arizona","WINSLOW","WINSLOW STATE PRISON","state"
72,"Arizona","WINSLOW STATE PRISON","WINSLOW STATE PRISON","state"
73,"Arizona","ASPC YUMA","YUMA STATE PRISON","state"
73,"Arizona","YUMA","YUMA STATE PRISON","state"
73,"Arizona","YUMA STATE PRISON","YUMA STATE PRISON","state"
75,"Arkansas","CUMMINS UNIT PRISON","CUMMINS UNIT PRISON","state"
81,"Arkansas","STATEWIDE","STATEWIDE","state"
81,"Arkansas","STATEWIDE FOR NON-FACILITY","STATEWIDE","state"
81,"Arkansas","STATEWIDE FOR NON-SPECIFIC FACILITIES","STATEWIDE","state"
81,"Arkansas","STATEWIDE FOR RESIDENTS","STATEWIDE","state"
81,"Arkansas","STATEWIDE FOR STAFF COUNT","STATEWIDE","state"
81,"Arkansas","STATEWIDE INMATES ONLY UNTIL ALSO PROVIDED","STATEWIDE","state"
81,"Arkansas","STATEWIDE NON-FACILITY","STATEWIDE","state"
81,"Arkansas","STATEWIDE STAFF ONLY","STATEWIDE","state"
81,"Arkansas","STATEWIDEFORNON-FACILITY","STATEWIDE","state"
83,"California","ASP AVENAL STATE PRISON","AVENAL STATE PRISON","state"
83,"California","ASP AVENAL STATE PRISON ASP","AVENAL STATE PRISON","state"
83,"California","ASP-AVENAL STATE PRISON","AVENAL STATE PRISON","state"
83,"California","ASP-AVENALSTATEPRISON","AVENAL STATE PRISON","state"
83,"California","AVENAL STATE PRISON","AVENAL STATE PRISON","state"
83,"California","AVENAL STATE PRISON ASP","AVENAL STATE PRISON","state"
83,"California","AVENALSTATEPRISON","AVENAL STATE PRISON","state"
88,"California","CAC CALIFORNIA CITY CORRECTIONAL FACILITY","CALIFORNIA CITY CORRECTIONAL FACILITY","state"
88,"California","CAC-CALIFORNIA CITY CORRECTIONAL FACILITY","CALIFORNIA CITY CORRECTIONAL FACILITY","state"
88,"California","CAC-CALIFORNIACITYCORRECTIONALFACILITY","CALIFORNIA CITY CORRECTIONAL FACILITY","state"
88,"California","CALIFORNIA CITY CORRECTIONAL FACILITY","CALIFORNIA CITY CORRECTIONAL FACILITY","state"
88,"California","CALIFORNIA CITY CORRECTIONAL FACILITY CAC","CALIFORNIA CITY CORRECTIONAL FACILITY","state"
88,"California","CALIFORNIACITYCORRECTIONALFACILITY","CALIFORNIA CITY CORRECTIONAL FACILITY","state"
89,"California","CA CORRECTIONAL CENTER","CALIFORNIA CORRECTIONAL CENTER","state"
89,"California","CACORRECTIONALCENTER","CALIFORNIA CORRECTIONAL CENTER","state"
89,"California","CALIFORNIA CORRECTIONAL CENTER","CALIFORNIA CORRECTIONAL CENTER","state"
89,"California","CALIFORNIA CORRECTIONAL CENTER CCC","CALIFORNIA CORRECTIONAL CENTER","state"
89,"California","CCC CALIFORNIA CORRECTIONAL CENTER","CALIFORNIA CORRECTIONAL CENTER","state"
89,"California","CCC-CA CORRECTIONAL CENTER","CALIFORNIA CORRECTIONAL CENTER","state"
89,"California","CCC-CACORRECTIONALCENTER","CALIFORNIA CORRECTIONAL CENTER","state"
89,"California","CCC-CALIFORNIA CORRECTIONAL CENTER","CALIFORNIA CORRECTIONAL CENTER","state"
90,"California","CA CORRECTIONAL INSTITUTION","CALIFORNIA CORRECTIONAL INSTITUTION","state"
90,"California","CACORRECTIONALINSTITUTION","CALIFORNIA CORRECTIONAL INSTITUTION","state"
90,"California","CALIFORNIA CORRECTIONAL INSTITUTION","CALIFORNIA CORRECTIONAL INSTITUTION","state"
90,"California","CALIFORNIA CORRECTIONAL INSTITUTION CCI","CALIFORNIA CORRECTIONAL INSTITUTION","state"
90,"California","CCI CALIFORNIA CORRECTIONAL INSTITUTION","CALIFORNIA CORRECTIONAL INSTITUTION","state"
90,"California","CCI-CA CORRECTIONAL INSTITUTION","CALIFORNIA CORRECTIONAL INSTITUTION","state"
90,"California","CCI-CACORRECTIONALINSTITUTION","CALIFORNIA CORRECTIONAL INSTITUTION","state"
90,"California","CCI-CALIFORNIA CORRECTIONAL INSTITUTION","CALIFORNIA CORRECTIONAL INSTITUTION","state"
91,"California","CALIFORNIA HEALTH CARE FACILITY","CALIFORNIA HEALTH CARE FACILITY","state"
91,"California","CALIFORNIA HEALTH CARE FACILITY - STOCKTON CHCF","CALIFORNIA HEALTH CARE FACILITY","state"
91,"California","CALIFORNIA HEALTH CARE FACILITY CHCF","CALIFORNIA HEALTH CARE FACILITY","state"
91,"California","CALIFORNIA HEALTH CARE FACILITY CHCF STOCKTON","CALIFORNIA HEALTH CARE FACILITY","state"
91,"California","CALIFORNIAHEALTHCAREFACILITY","CALIFORNIA HEALTH CARE FACILITY","state"
91,"California","CHCF CALIFORNIA HEALTH CARE FACILITY","CALIFORNIA HEALTH CARE FACILITY","state"
91,"California","CHCF-CALIFORNIA HEALTH CARE FACILITY","CALIFORNIA HEALTH CARE FACILITY","state"
91,"California","CHCF-CALIFORNIAHEALTHCAREFACILITY","CALIFORNIA HEALTH CARE FACILITY","state"
92,"California","CA INSTITUTION FOR MEN","CALIFORNIA INSTITUTION FOR MEN","state"
92,"California","CAINSTITUTIONFORMEN","CALIFORNIA INSTITUTION FOR MEN","state"
92,"California","CALIFORNIA INSTITUTION FOR MEN","CALIFORNIA INSTITUTION FOR MEN","state"
92,"California","CALIFORNIA INSTITUTION FOR MEN CIM","CALIFORNIA INSTITUTION FOR MEN","state"
92,"California","CIM CALIFORNIA INSTITUTION FOR MEN","CALIFORNIA INSTITUTION FOR MEN","state"
92,"California","CIM-CA INSTITUTION FOR MEN","CALIFORNIA INSTITUTION FOR MEN","state"
92,"California","CIM-CAINSTITUTIONFORMEN","CALIFORNIA INSTITUTION FOR MEN","state"
92,"California","CIM-CALIFORNIA INSTITUTION FOR MEN","CALIFORNIA INSTITUTION FOR MEN","state"
93,"California","CA INSTITUTION FOR WOMEN","CALIFORNIA INSTITUTION FOR WOMEN","state"
93,"California","CAINSTITUTIONFORWOMEN","CALIFORNIA INSTITUTION FOR WOMEN","state"
93,"California","CALIFORNIA INSTITUTION FOR WOMEN","CALIFORNIA INSTITUTION FOR WOMEN","state"
93,"California","CALIFORNIA INSTITUTION FOR WOMEN CIW","CALIFORNIA INSTITUTION FOR WOMEN","state"
93,"California","CIW CALIFORNIA INSTITUTION FOR WOMEN","CALIFORNIA INSTITUTION FOR WOMEN","state"
93,"California","CIW-CA INSTITUTION FOR WOMEN","CALIFORNIA INSTITUTION FOR WOMEN","state"
93,"California","CIW-CAINSTITUTIONFORWOMEN","CALIFORNIA INSTITUTION FOR WOMEN","state"
93,"California","CIW-CALIFORNIA INSTITUTION FOR WOMEN","CALIFORNIA INSTITUTION FOR WOMEN","state"
94,"California","CA MEDICAL FACILITY","CALIFORNIA MEDICAL FACILITY","state"
94,"California","CALIFORNIA MEDICAL FACILITY","CALIFORNIA MEDICAL FACILITY","state"
94,"California","CALIFORNIA MEDICAL FACILITY CMF","CALIFORNIA MEDICAL FACILITY","state"
94,"California","CAMEDICALFACILITY","CALIFORNIA MEDICAL FACILITY","state"
94,"California","CMF CALIFORNIA MEDICAL FACILITY","CALIFORNIA MEDICAL FACILITY","state"
94,"California","CMF-CA MEDICAL FACILITY","CALIFORNIA MEDICAL FACILITY","state"
94,"California","CMF-CALIFORNIA MEDICAL FACILITY","CALIFORNIA MEDICAL FACILITY","state"
94,"California","CMF-CAMEDICALFACILITY","CALIFORNIA MEDICAL FACILITY","state"
95,"California","CA MENS COLONY","CALIFORNIA MENS COLONY","state"
95,"California","CALIFORNIA MENÄÔS COLONY CMC","CALIFORNIA MENS COLONY","state"
95,"California","CALIFORNIA MENS COLONY","CALIFORNIA MENS COLONY","state"
95,"California","CALIFORNIA MENS COLONY CMC","CALIFORNIA MENS COLONY","state"
95,"California","CAMENSCOLONY","CALIFORNIA MENS COLONY","state"
95,"California","CMC CALIFORNIA MENS COLONY","CALIFORNIA MENS COLONY","state"
95,"California","CMC-CA MENS COLONY","CALIFORNIA MENS COLONY","state"
95,"California","CMC-CALIFORNIA MENÄÔS COLONY","CALIFORNIA MENS COLONY","state"
95,"California","CMC-CALIFORNIA MENS COLONY","CALIFORNIA MENS COLONY","state"
95,"California","CMC-CAMENSCOLONY","CALIFORNIA MENS COLONY","state"
96,"California","CA REHABILITATION CENTER","CALIFORNIA REHABILITATION CENTER","state"
96,"California","CALIFORNIA REHABILITATION CENTER","CALIFORNIA REHABILITATION CENTER","state"
96,"California","CALIFORNIA REHABILITATION CENTER CRC","CALIFORNIA REHABILITATION CENTER","state"
96,"California","CAREHABILITATIONCENTER","CALIFORNIA REHABILITATION CENTER","state"
96,"California","CRC CALIFORNIA REHABILITATION CENTER","CALIFORNIA REHABILITATION CENTER","state"
96,"California","CRC-CA REHABILITATION CENTER","CALIFORNIA REHABILITATION CENTER","state"
96,"California","CRC-CALIFORNIA REHABILITATION CENTER","CALIFORNIA REHABILITATION CENTER","state"
96,"California","CRC-CAREHABILITATIONCENTER","CALIFORNIA REHABILITATION CENTER","state"
97,"California","CA STATE PRISON CORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","CALIFORNIA STATE PRISON CORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","CALIFORNIA STATE PRISON CORCORAN COR","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","CASTATEPRISONCORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","COR CALIFORNIA STATE PRISON CORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","COR-CA STATE PRISON CORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","COR-CALIFORNIA STATE PRISON CORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","COR-CASTATEPRISONCORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","SATF CSP CALIFORNIA SUBSTANCE ABUSE TREATMENT FACILITY AND STATE PRISON CORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","SATF-CSP-CALIFORNIA SUBSTANCE ABUSE TREATMENT FACILITY AND STATE PRISON CORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
97,"California","SUBSTANCE ABUSE TREATMENT FACILITY AND STATE PRISON CORCORAN","CALIFORNIA STATE PRISON CORCORAN","state"
98,"California","CA STATE PRISON LA COUNTY","CALIFORNIA STATE PRISON LOS ANGELES","state"
98,"California","CALIFORNIA STATE PRISON LOS ANGELES","CALIFORNIA STATE PRISON LOS ANGELES","state"
98,"California","CALIFORNIA STATE PRISON LOS ANGELES COUNTY LAC","CALIFORNIA STATE PRISON LOS ANGELES","state"
98,"California","CASTATEPRISONLACOUNTY","CALIFORNIA STATE PRISON LOS ANGELES","state"
98,"California","LAC CALIFORNIA STATE PRISON LOS ANGELES COUNTY","CALIFORNIA STATE PRISON LOS ANGELES","state"
98,"California","LAC-CA STATE PRISON LA COUNTY","CALIFORNIA STATE PRISON LOS ANGELES","state"
98,"California","LAC-CALIFORNIA STATE PRISON LOS ANGELES COUNTY","CALIFORNIA STATE PRISON LOS ANGELES","state"
98,"California","LAC-CASTATEPRISONLACOUNTY","CALIFORNIA STATE PRISON LOS ANGELES","state"
99,"California","CA STATE PRISON SACRAMENTO","CALIFORNIA STATE PRISON SACRAMENTO","state"
99,"California","CALIFORNIA STATE PRISON SACRAMENTO","CALIFORNIA STATE PRISON SACRAMENTO","state"
99,"California","CALIFORNIA STATE PRISON SACRAMENTO SAC","CALIFORNIA STATE PRISON SACRAMENTO","state"
99,"California","CASTATEPRISONSACRAMENTO","CALIFORNIA STATE PRISON SACRAMENTO","state"
99,"California","SAC CALIFORNIA STATE PRISON SACRAMENTO","CALIFORNIA STATE PRISON SACRAMENTO","state"
99,"California","SAC-CA STATE PRISON SACRAMENTO","CALIFORNIA STATE PRISON SACRAMENTO","state"
99,"California","SAC-CALIFORNIA STATE PRISON SACRAMENTO","CALIFORNIA STATE PRISON SACRAMENTO","state"
99,"California","SAC-CASTATEPRISONSACRAMENTO","CALIFORNIA STATE PRISON SACRAMENTO","state"
100,"California","CA STATE PRISON SAN QUENTIN","CALIFORNIA STATE PRISON SAN QUENTIN","state"
100,"California","CALIFORNIA STATE PRISON SAN QUENTIN","CALIFORNIA STATE PRISON SAN QUENTIN","state"
100,"California","CASTATEPRISONSANQUENTIN","CALIFORNIA STATE PRISON SAN QUENTIN","state"
100,"California","SAN QUENTIN STATE PRISON","CALIFORNIA STATE PRISON SAN QUENTIN","state"
100,"California","SAN QUENTIN STATE PRISON SQ","CALIFORNIA STATE PRISON SAN QUENTIN","state"
100,"California","SQ CA STATE PRISON SAN QUENTIN","CALIFORNIA STATE PRISON SAN QUENTIN","state"
100,"California","SQ-CA STATE PRISON SAN QUENTIN","CALIFORNIA STATE PRISON SAN QUENTIN","state"
100,"California","SQ-CASTATEPRISONSANQUENTIN","CALIFORNIA STATE PRISON SAN QUENTIN","state"
100,"California","SQ-SAN QUENTIN STATE PRISON","CALIFORNIA STATE PRISON SAN QUENTIN","state"
101,"California","CA STATE PRISON SOLANO","CALIFORNIA STATE PRISON SOLANO","state"
101,"California","CALIFORNIA STATE PRISON SOLANO","CALIFORNIA STATE PRISON SOLANO","state"
101,"California","CALIFORNIA STATE PRISON SOLANO SOL","CALIFORNIA STATE PRISON SOLANO","state"
101,"California","CASTATEPRISONSOLANO","CALIFORNIA STATE PRISON SOLANO","state"
101,"California","SOL CALIFORNIA STATE PRISON SOLANO","CALIFORNIA STATE PRISON SOLANO","state"
101,"California","SOL-CA STATE PRISON SOLANO","CALIFORNIA STATE PRISON SOLANO","state"
101,"California","SOL-CALIFORNIA STATE PRISON SOLANO","CALIFORNIA STATE PRISON SOLANO","state"
101,"California","SOL-CASTATEPRISONSOLANO","CALIFORNIA STATE PRISON SOLANO","state"
102,"California","CAL CALIPATRIA STATE PRISON","CALIPATRIA STATE PRISON","state"
102,"California","CAL-CALIPATRIA STATE PRISON","CALIPATRIA STATE PRISON","state"
102,"California","CAL-CALIPATRIASTATEPRISON","CALIPATRIA STATE PRISON","state"
102,"California","CALIPATRIA STATE PRISON","CALIPATRIA STATE PRISON","state"
102,"California","CALIPATRIA STATE PRISON CAL","CALIPATRIA STATE PRISON","state"
102,"California","CALIPATRIASTATEPRISON","CALIPATRIA STATE PRISON","state"
103,"California","CDCR CCHCS WORKSITE LOCATION FRESNO COUNTY","CDCR CCHCS WORKSITE - FRESNO COUNTY","state"
104,"California","CDCR CCHCS WORKSITE LOCATION IMPERIAL COUNTY","CDCR CCHCS WORKSITE - IMPERIAL COUNTY","state"
105,"California","CDCR CCHCS WORKSITE LOCATION KERN COUNTY","CDCR CCHCS WORKSITE - KERN COUNTY","state"
106,"California","CDCR CCHCS WORKSITE LOCATION MENDOCINO COUNTY","CDCR CCHCS WORKSITE - MENDOCINO COUNTY","state"
107,"California","CDCR CCHCS WORKSITE LOCATION ORANGE COUNTY","CDCR CCHCS WORKSITE - ORANGE COUNTY","state"
